epoch,action,delta_grow,delta_prune,L_before,L_after_none,hidden_sizes
2,none,-0.04390357136726375,-0.009668242931365922,-1.1111826062202455,-0.880533504486084,"[256, 256, 256, 256]"
4,prune,-0.07315905690193181,0.03044638633728025,-0.8681017696857453,-0.8034904301166534,"[231, 231, 231, 231]"
6,prune,-0.022349268198013306,0.03933207988739018,-0.7458295047283172,-0.7342317700386047,"[208, 208, 208, 208]"
8,prune,-0.03685806989669804,0.029994350671768144,-0.6877759754657745,-0.6346989274024963,"[188, 188, 188, 188]"
10,prune,-0.020739692449569636,0.03899662494659428,-0.5991753518581391,-0.6034505009651184,"[170, 170, 170, 170]"
12,prune,-0.04122298359870913,0.017482620477676458,-0.5563868165016175,-0.5448156237602234,"[153, 153, 153, 153]"
14,prune,-0.0075463056564331055,0.031035566329955966,-0.5235241889953614,-0.5370944857597351,"[138, 138, 138, 138]"
16,none,-0.0342405408620835,-0.02201751768589022,-0.5183415591716767,-0.4930269181728363,"[138, 138, 138, 138]"
18,prune,-0.0050094962120056374,0.005918937921524037,-0.5139774858951569,-0.5001885294914246,"[125, 125, 125, 125]"
20,prune,-0.011508983373641979,0.018756306171417214,-0.47957712411880493,-0.48270598649978635,"[113, 113, 113, 113]"
22,none,-0.023803386092185963,-0.0036939382553100586,-0.4832317143678665,-0.4530810832977295,"[113, 113, 113, 113]"
24,prune,-0.027470582723617576,0.013699558377265941,-0.4655009418725967,-0.4479201138019562,"[102, 102, 102, 102]"
26,prune,-0.007621929049491882,0.024151009321212724,-0.4403704345226288,-0.45283949971199033,"[92, 92, 92, 92]"
28,none,-0.03231579065322876,-0.002020278573036216,-0.43751407861709596,-0.42460631430149076,"[92, 92, 92, 92]"
30,prune,0.005180203914642301,0.025269326567649852,-0.42254531383514404,-0.44671573042869567,"[83, 83, 83, 83]"
32,none,-0.011146670579910256,-0.015776643157005332,-0.4161804705858231,-0.4076571762561798,"[83, 83, 83, 83]"
34,none,-0.027195060253143333,-0.006842589378356967,-0.4207877337932587,-0.4093946546316147,"[83, 83, 83, 83]"
36,prune,-0.003024163842201222,0.016183289885520924,-0.4180290728807449,-0.42475558519363404,"[75, 75, 75, 75]"
38,prune,0.0037396490573882724,0.0056863874197006226,-0.4151160478591919,-0.41441976130008695,"[68, 68, 68, 68]"
40,none,-0.001375117897987388,-0.00663488805294038,-0.4077628433704376,-0.4094142973423004,"[68, 68, 68, 68]"
42,none,-0.017122578620910656,-0.013183686137199446,-0.40991480350494386,-0.39329000413417814,"[68, 68, 68, 68]"
44,grow,0.01506149470806123,0.012362957000732422,-0.41439296007156373,-0.42001145482063296,"[82, 68, 68, 68]"
46,prune,-0.0069419324398041216,0.007918494939804066,-0.4086819112300873,-0.41232136487960813,"[74, 62, 62, 62]"
48,none,-0.00746710002422335,-0.008639070391655013,-0.426740837097168,-0.39012344777584074,"[74, 62, 62, 62]"
51,none,-0.017325416207313538,-0.004478898644447338,-0.4008604049682617,-0.38957253396511077,"[74, 62, 62, 62]"
54,prune,-0.01567836999893185,0.0010942786931991688,-0.40375717878341677,-0.38404064774513247,"[67, 56, 56, 56]"
57,prune,0.002659660577774059,0.007432961463928245,-0.3986950218677521,-0.3970276266336441,"[61, 51, 51, 51]"
60,grow,0.01272426843643193,0.010599237680435192,-0.37731624245643614,-0.4035967826843262,"[61, 51, 62, 51]"
63,none,-0.011667153239250161,-0.004784971475601196,-0.3797546327114105,-0.3848525404930115,"[61, 51, 62, 51]"
66,prune,0.004632738232612621,0.005437254905700684,-0.38830736875534055,-0.3917873203754425,"[55, 46, 56, 46]"
69,none,-0.0011821895837783591,-0.0029523223638534546,-0.38151180148124697,-0.38566267490386963,"[55, 46, 56, 46]"
73,none,-0.014393320679664645,-0.0017282038927078358,-0.3841253310441971,-0.37849572896957395,"[55, 46, 56, 46]"
