epoch,action,delta_grow,delta_prune,L_before,L_after_none,hidden_sizes
2,prune,-0.08614372014999394,0.07495652437210087,-1.2729203343391418,-1.203800618648529,"[231, 231, 231, 231]"
4,prune,-0.045344638824462935,0.08394552469253536,-1.0484699487686158,-1.0333523988723754,"[208, 208, 208, 208]"
6,prune,-0.08497318029403678,0.03003796935081482,-0.8920472621917724,-0.8877470374107361,"[188, 188, 188, 188]"
8,prune,-0.0722424209117889,0.03286845684051509,-0.7956291079521179,-0.7877621352672577,"[170, 170, 170, 170]"
10,prune,-0.04431275129318246,0.05500653386116028,-0.7490581333637237,-0.7404845774173736,"[153, 153, 153, 153]"
12,prune,-0.05406661629676823,0.04321965575218201,-0.7051189243793488,-0.6700415015220642,"[138, 138, 138, 138]"
14,prune,-0.03575811386108407,0.02552180886268607,-0.6431153178215027,-0.6328383207321167,"[125, 125, 125, 125]"
16,prune,-0.013597172498702959,0.025818294286727883,-0.5919089019298553,-0.6018661856651306,"[113, 113, 113, 113]"
18,prune,-0.03345210552215572,0.022039434313774087,-0.5526591449975967,-0.5584775149822235,"[102, 102, 102, 102]"
20,prune,-0.03287645876407619,0.03564685285091407,-0.5282578110694885,-0.5401756197214127,"[92, 92, 92, 92]"
22,none,-0.052575391530990556,-0.013388785719871454,-0.5353403270244599,-0.5027742028236389,"[92, 92, 92, 92]"
24,prune,-0.03598942756652834,0.015733131766319297,-0.5062366098165512,-0.5127117335796356,"[83, 83, 83, 83]"
26,none,-0.0263632714748383,-0.0044918060302734375,-0.5036777198314667,-0.48249015808105467,"[83, 83, 83, 83]"
28,prune,-0.018415024876594577,0.007795026898384072,-0.48390932083129884,-0.4878078132867813,"[75, 75, 75, 75]"
30,prune,0.001374891400337197,0.01880873441696168,-0.4727050393819809,-0.49615617394447326,"[68, 68, 68, 68]"
32,prune,-0.03205989599227904,0.009025755524635304,-0.4499742239713669,-0.4482156813144684,"[62, 62, 62, 62]"
34,prune,-0.015568923950195324,0.005129590630531311,-0.4344915360212326,-0.4520384222269058,"[56, 56, 56, 56]"
36,none,-0.019864168763160717,-0.02178246676921841,-0.4488157004117966,-0.43316097259521485,"[56, 56, 56, 56]"
38,none,-0.023110279440879844,-0.01795010268688202,-0.44174731373786924,-0.4271839469671249,"[56, 56, 56, 56]"
40,none,-0.012284141778945934,-0.0014012128114700428,-0.4336079269647598,-0.4373231500387192,"[56, 56, 56, 56]"
42,prune,-0.01741460561752317,0.008177542686462425,-0.4334600865840912,-0.44185539782047273,"[51, 51, 51, 51]"
44,none,-0.026913413405418418,-0.013913556933403015,-0.44478108882904055,-0.417498904466629,"[51, 51, 51, 51]"
46,none,-0.032565703988075234,-0.014136964082717862,-0.4285126686096191,-0.4317792445421219,"[51, 51, 51, 51]"
48,none,-0.008170884847641002,-0.0029522597789764515,-0.4321136295795441,-0.42846545577049255,"[51, 51, 51, 51]"
51,prune,-0.020148223638534524,0.006999519467353832,-0.42074950635433195,-0.4237773507833481,"[46, 46, 46, 46]"
54,grow,0.009743347764015198,-0.0013894826173782016,-0.42275539636611936,-0.4326887667179108,"[56, 46, 46, 46]"
57,prune,-0.011145666241645813,0.010614597797393821,-0.4389609396457672,-0.4217907637357712,"[51, 42, 42, 42]"
60,prune,-0.006968206167221103,0.003110957145690929,-0.4339357614517212,-0.4156553477048874,"[46, 38, 38, 38]"
63,prune,0.008704024553298995,0.01292450726032257,-0.3956063240766525,-0.4241386890411377,"[42, 35, 35, 35]"
66,grow,0.010076189041137662,-0.008485615253448486,-0.4014127731323242,-0.41334405839443206,"[42, 35, 42, 35]"
69,prune,-0.00451185107231139,0.001215878129005421,-0.41409648060798643,-0.41300020813941957,"[38, 32, 38, 32]"
73,none,-0.012300559878349326,-0.0034623652696609275,-0.40349705815315245,-0.3991498649120331,"[38, 32, 38, 32]"
77,none,-0.030033391714096025,-0.0008245229721068892,-0.40366300344467165,-0.39729166924953463,"[38, 32, 38, 32]"
81,grow,0.0012951225042343029,-0.00516111254692081,-0.39578503668308257,-0.40312168300151824,"[46, 32, 38, 32]"
85,none,-0.0020474910736084095,-0.008879128098487843,-0.4273344874382019,-0.41609600484371184,"[46, 32, 38, 32]"
90,none,-0.006290322542190585,-0.004289028048515331,-0.4052713304758072,-0.3995364189147949,"[46, 32, 38, 32]"
95,prune,-0.006401547789573692,0.010696730017662026,-0.3988446623086929,-0.3974777370691299,"[42, 29, 35, 29]"
101,none,-0.006252935528755166,-0.015391370654106118,-0.4113881945610046,-0.3969595700502396,"[42, 29, 35, 29]"
107,prune,-0.004980748891830422,0.0017796218395233487,-0.4080388516187668,-0.40026199221611025,"[38, 27, 32, 27]"
114,prune,0.010178005695342995,0.012693354487419095,-0.38944614231586455,-0.40810122191905973,"[35, 25, 29, 25]"
121,grow,0.0007027089595794678,-0.0025491207838058694,-0.3934255838394165,-0.4049125909805298,"[35, 25, 29, 30]"
129,none,-0.005317780375480641,-0.006712308526039101,-0.3961238324642181,-0.40703676342964173,"[35, 25, 29, 30]"
138,none,-0.01128249168395995,-0.019536069035530124,-0.4033477306365967,-0.3940229445695877,"[35, 25, 29, 30]"
148,grow,0.0006432652473449818,-0.015586763620376587,-0.4010540693998337,-0.40726910829544066,"[42, 25, 29, 30]"
159,none,-0.011331498622894287,-0.0013941198587417158,-0.41402948796749117,-0.4083035081624985,"[42, 25, 29, 30]"
172,grow,0.00707886219024656,-0.007267645001411471,-0.4086210191249847,-0.41400994956493375,"[42, 25, 29, 36]"
187,prune,-0.00028575360774996117,0.009803214669227567,-0.4269586741924286,-0.4281755894422531,"[38, 23, 27, 33]"
