epoch,action,delta_grow,delta_prune,L_before,hidden_sizes
2,prune,0.03947314023971549,0.19007809162139888,-1.3231347799301147,"[244, 244, 244, 244]"
4,prune,-0.07469210624694833,0.045166754722595126,-1.0761060953140258,"[232, 232, 232, 232]"
6,prune,-0.07393071055412292,0.01426541805267334,-0.9882969737052918,"[221, 221, 221, 221]"
8,prune,-0.05698414444923405,0.04973782300949092,-0.9299468696117401,"[210, 210, 210, 210]"
10,prune,-0.04785323143005371,0.045475029945373446,-0.8640371680259704,"[200, 200, 200, 200]"
12,prune,-0.023006808757781938,0.05425800085067756,-0.8275438785552979,"[190, 190, 190, 190]"
14,prune,-0.05376272797584525,0.014909398555755682,-0.7626097083091736,"[181, 181, 181, 181]"
16,prune,-0.06432418227195746,0.02083604931831351,-0.7128656029701232,"[172, 172, 172, 172]"
18,prune,-0.04425870776176455,0.02451961636543265,-0.6976173937320709,"[164, 164, 164, 164]"
20,prune,-0.04271823167800903,0.02000364661216736,-0.6657417297363282,"[156, 156, 156, 156]"
22,prune,-0.033684396743774436,0.01726741790771491,-0.6453831136226654,"[149, 149, 149, 149]"
24,prune,-0.03716859221458435,0.015951615571975664,-0.6158949434757233,"[142, 142, 142, 142]"
26,prune,-0.04322226047515865,0.027385443449020386,-0.6026051878929138,"[135, 135, 135, 135]"
28,prune,-0.040617275238037154,0.005810862779617287,-0.572781753540039,"[129, 129, 129, 129]"
30,prune,-0.041814368963241644,0.0005708217620848943,-0.5571591019630432,"[123, 123, 123, 123]"
32,prune,-0.035086685419082664,0.010670387744903587,-0.5463607966899872,"[117, 117, 117, 117]"
34,none,-0.04208181202411654,-0.00833929479122164,-0.5249100536108017,"[117, 117, 117, 117]"
36,prune,-0.03340593278408044,0.018673321604728788,-0.5316481620073319,"[112, 112, 112, 112]"
38,prune,-0.026428183913230874,0.016606852412223816,-0.5273103326559067,"[107, 107, 107, 107]"
40,prune,-0.012281772494316057,0.024473789334297225,-0.5232345998287201,"[102, 102, 102, 102]"
42,prune,-0.029595807194709778,0.006239104270935103,-0.49381286799907687,"[97, 97, 97, 97]"
44,prune,-0.020908981561660767,0.003434064984321583,-0.4881352841854095,"[93, 93, 93, 93]"
46,prune,-0.036771288514137246,0.001486098766326882,-0.4760030508041382,"[89, 89, 89, 89]"
48,prune,-0.01947036385536194,0.0060323446989059,-0.46425833404064176,"[85, 85, 85, 85]"
51,none,-0.043800380825996355,-0.005039858818054188,-0.45813959240913393,"[85, 85, 85, 85]"
54,prune,-0.021452230215072643,0.012516278028488148,-0.4658262610435486,"[81, 81, 81, 81]"
57,prune,-0.01663906574249263,0.001942253112793002,-0.4589657723903656,"[77, 77, 77, 77]"
60,prune,-0.004517477750778209,0.01300110816955563,-0.4548309206962585,"[74, 74, 74, 74]"
63,prune,-0.025475364923477184,0.009050041437149048,-0.4462720423936844,"[71, 71, 71, 71]"
66,none,-0.01970384716987611,-0.004467058181762684,-0.43738143146038055,"[71, 71, 71, 71]"
69,prune,-0.029810532927513123,0.004535451531410217,-0.42817368507385256,"[68, 68, 68, 68]"
73,prune,-0.0009921967983245739,0.02209682166576382,-0.45447767078876494,"[65, 65, 65, 65]"
77,prune,-0.010014271736144997,0.0070399969816207775,-0.4289220094680786,"[62, 62, 62, 62]"
81,none,-0.019415783882141102,-0.01013287901878357,-0.42388119697570803,"[62, 62, 62, 62]"
85,prune,0.008967199921607993,0.010688924789428733,-0.4446358233690262,"[59, 59, 59, 59]"
90,none,-0.00664694607257843,-0.011224472522735618,-0.4180180460214615,"[59, 59, 59, 59]"
95,none,-0.008700123429298434,-0.00828919112682347,-0.4174207508563995,"[59, 59, 59, 59]"
101,prune,-0.006208106875419617,0.006261813640594471,-0.431146702170372,"[57, 57, 57, 57]"
107,none,-0.027646911144256603,-0.014222592115402222,-0.41768903136253355,"[57, 57, 57, 57]"
114,none,-0.013598087430000294,-0.0017658889293670765,-0.4247067242860794,"[57, 57, 57, 57]"
121,prune,-0.016034218668937672,0.017108771204948414,-0.4404721826314926,"[55, 55, 55, 55]"
129,none,-0.022339719533920277,-0.0021487176418304443,-0.41807240545749663,"[55, 55, 55, 55]"
138,prune,-0.007024577260017428,0.006573423743247986,-0.427914759516716,"[53, 53, 53, 53]"
148,prune,0.004742470383644115,0.007559853792190541,-0.42320495545864106,"[51, 51, 51, 51]"
159,prune,0.004922518134117093,0.014378589391708385,-0.43727805018424987,"[49, 49, 49, 49]"
172,prune,-0.00776439905166626,0.02132983207702638,-0.42934770584106446,"[47, 47, 47, 47]"
187,none,-0.0053182601928710715,-0.00677128732204435,-0.43169153928756715,"[47, 47, 47, 47]"
