epoch,action,delta_grow,delta_prune,L_before,hidden_sizes
2,prune,0.44883001446723925,0.4551110804080962,-1.473178219795227,"[31, 31, 31, 31]"
4,grow,0.05729932785034175,0.02589635848999028,-0.7708699107170105,"[38, 31, 31, 31]"
6,prune,0.009806174039840632,0.016496598720550537,-0.6614094138145447,"[37, 30, 30, 30]"
8,prune,0.04534703493118286,0.06575326919555657,-0.6320388674736023,"[36, 29, 29, 29]"
10,grow,0.015780383348464877,-0.002023810148239158,-0.5654074966907501,"[36, 35, 29, 29]"
12,none,-0.019093841314315796,-0.010836791992187456,-0.5218455046415329,"[36, 35, 29, 29]"
14,prune,-0.018321773409843423,0.007087615132331804,-0.5291504114866257,"[35, 34, 28, 28]"
16,grow,0.023124119639396645,0.0166756093502044,-0.5228324949741363,"[42, 34, 28, 28]"
18,prune,0.00980512201786038,0.017114010453224138,-0.5065130054950714,"[40, 33, 27, 27]"
20,prune,-0.0013638913631439653,0.010160934925079301,-0.4794611394405365,"[38, 32, 26, 26]"
22,prune,-0.022780197858810414,0.00195489525794984,-0.4580804228782654,"[37, 31, 25, 25]"
24,none,-0.012157917022705078,-0.014267838001251198,-0.4441837668418884,"[37, 31, 25, 25]"
26,grow,0.025718140602111805,0.01777979135513308,-0.47156789898872375,"[37, 31, 30, 25]"
28,prune,-0.005922630429267883,0.008092993497848533,-0.4528458684682846,"[36, 30, 29, 24]"
30,prune,-0.00747208297252655,0.012297284603118908,-0.4455585777759552,"[35, 29, 28, 23]"
32,none,-0.019605851173400857,-0.001549723744392384,-0.42044177651405334,"[35, 29, 28, 23]"
34,prune,0.023272368311882008,0.029381710290908802,-0.45934130549430846,"[34, 28, 27, 22]"
36,prune,0.003059104084968567,0.015218338370323214,-0.43814554512500764,"[33, 27, 26, 21]"
38,none,-0.011783361434936523,-0.005748093128204346,-0.4227438509464264,"[33, 27, 26, 21]"
40,none,-0.016260316967964206,-0.002598768472671542,-0.42393249869346616,"[33, 27, 26, 21]"
42,prune,-0.009774887561798118,0.00739735960960386,-0.42025511562824247,"[32, 26, 25, 20]"
44,none,-0.010134941339492831,-0.000463625788688693,-0.41246323585510253,"[32, 26, 25, 20]"
46,none,-0.006690520048141524,-0.008997744321823153,-0.41884482502937315,"[32, 26, 25, 20]"
48,none,-0.012706360220909096,-0.003974196314811718,-0.41211529076099396,"[32, 26, 25, 20]"
51,none,-0.009465733170509305,-0.008871105313301042,-0.40093699991703036,"[32, 26, 25, 20]"
54,none,-0.006352129578590382,-0.010377815365791299,-0.4068976312875748,"[32, 26, 25, 20]"
57,none,-0.029836019873619057,-0.005467265844345093,-0.40101791322231295,"[32, 26, 25, 20]"
60,prune,0.0014445990324020719,0.002322450280189514,-0.41456073224544526,"[31, 25, 24, 19]"
63,prune,-0.009908813238143965,0.0018291860818862582,-0.4062600493431091,"[30, 24, 23, 18]"
66,grow,0.0034109860658645963,-0.00933813154697416,-0.41660919189453127,"[36, 24, 23, 18]"
69,grow,0.013156667351722717,0.006894263625144947,-0.41619359254837035,"[36, 24, 23, 22]"
73,prune,-0.02635871171951293,0.00016138553619388096,-0.40724227726459505,"[35, 23, 22, 21]"
77,prune,-0.008403223752975475,0.001825296878814664,-0.409887558221817,"[34, 22, 21, 20]"
81,prune,-0.024034252762794472,0.008121776580810536,-0.3997141569852829,"[33, 21, 20, 19]"
85,none,-0.018982467055320695,-0.002189436554908719,-0.39846749007701876,"[33, 21, 20, 19]"
90,prune,-0.011964452266693126,0.003921058773994401,-0.40295534431934354,"[32, 20, 19, 18]"
95,none,-0.015033408999443054,-0.01375501155853276,-0.38738753497600553,"[32, 20, 19, 18]"
101,prune,-0.006422021985053983,0.005264830589294445,-0.39307923018932345,"[31, 19, 18, 17]"
107,prune,-0.015924394130706787,0.0038799911737442128,-0.39609141647815704,"[30, 18, 17, 16]"
114,none,-0.009807148575782743,-0.007235831022262551,-0.3907733947038651,"[30, 18, 17, 16]"
121,prune,0.0007806718349456787,0.0034730374813080056,-0.3950449377298355,"[29, 17, 16, 15]"
129,none,-0.0006930589675903653,-0.011397483944892872,-0.3916973054409027,"[29, 17, 16, 15]"
138,none,-0.004522854089736905,-0.0143458932638168,-0.39199906289577485,"[29, 17, 16, 15]"
148,none,-0.012475952506065369,-0.0034450620412826427,-0.39346243143081666,"[29, 17, 16, 15]"
159,none,-0.012458118796348616,-0.025296416878700267,-0.3823255211114883,"[29, 17, 16, 15]"
172,none,-0.013062313199043274,-0.0008361101150512473,-0.3860767751932144,"[29, 17, 16, 15]"
187,none,-0.02111208438873291,-0.00991874039173124,-0.39382970333099365,"[29, 17, 16, 15]"
