epoch,action,delta_grow,delta_prune,L_before,L_after_none,hidden_sizes
2,prune,-0.13242758512496966,0.035917472839355424,-1.4194805026054382,-1.2635494112968444,"[116, 116, 116, 116]"
4,prune,-0.10961608886718754,0.04765464067459102,-1.1625298500061034,-1.100989329814911,"[105, 105, 105, 105]"
6,prune,-0.07026515007019041,0.08669402599334719,-1.0016417503356934,-0.9918789029121399,"[95, 95, 95, 95]"
8,prune,-0.08860928416252145,0.04601595401763914,-0.9499573230743408,-0.8812208592891693,"[86, 86, 86, 86]"
10,prune,-0.10404738187789919,0.035224199295043945,-0.8394580543041229,-0.8103889942169189,"[78, 78, 78, 78]"
12,prune,-0.06620738506317136,0.01933289766311652,-0.7693370819091797,-0.7658782541751862,"[71, 71, 71, 71]"
14,prune,-0.06227695345878603,0.04089245796203611,-0.7389476478099823,-0.7147588849067688,"[64, 64, 64, 64]"
16,prune,-0.051981943845748946,0.009751898050308183,-0.7013922214508057,-0.6726870894432068,"[58, 58, 58, 58]"
18,prune,-0.02941547036170955,0.022776526212692216,-0.6611272513866424,-0.6507957875728607,"[53, 53, 53, 53]"
20,none,-0.05700660943984992,-0.0017822086811065674,-0.6021622240543365,-0.5987556040287018,"[53, 53, 53, 53]"
22,prune,-0.04508564472198484,0.017393666505813532,-0.6380936026573181,-0.6083671808242798,"[48, 48, 48, 48]"
24,none,-0.045877867937088035,-0.019668477773666315,-0.5936270952224731,-0.5735275983810425,"[48, 48, 48, 48]"
26,prune,-0.014728313684463479,0.032167696952819846,-0.5905627608299255,-0.5939035415649414,"[44, 44, 44, 44]"
28,none,-0.05059246420860297,-0.0172818064689636,-0.5574262320995331,-0.5498415887355804,"[44, 44, 44, 44]"
30,none,-0.03817589879035943,-0.005552911758422763,-0.5613819032907486,-0.5552700638771058,"[44, 44, 44, 44]"
32,prune,-0.028489953279495328,0.00562950372695914,-0.5618498474359512,-0.5532559275627136,"[40, 40, 40, 40]"
34,prune,-0.034335529804229714,0.00666389465332029,-0.5390369653701782,-0.5383845210075379,"[36, 36, 36, 36]"
36,prune,-0.022912538051605202,0.011335608363151506,-0.5232103705406189,-0.5202863812446594,"[33, 33, 33, 33]"
38,prune,-0.027078247070312478,0.0027603387832642046,-0.527568382024765,-0.520336800813675,"[30, 30, 30, 30]"
40,none,-0.03920638561248785,-0.01678294241428374,-0.5064071714878082,-0.49816890358924865,"[30, 30, 30, 30]"
42,none,-0.004820162057876498,-0.01618152558803554,-0.4974940359592438,-0.508568960428238,"[30, 30, 30, 30]"
44,none,-0.0364024877548218,-0.027160650491714455,-0.49531334042549136,-0.4939655601978302,"[30, 30, 30, 30]"
46,none,-0.017887145280838013,-0.003473463654518172,-0.49027987718582156,-0.5025591015815735,"[30, 30, 30, 30]"
48,prune,-0.021879094839096114,0.009796634316444397,-0.491371887922287,-0.49342102408409116,"[27, 27, 27, 27]"
51,prune,-0.0022837817668914795,0.021526837348937955,-0.478444305062294,-0.507084321975708,"[25, 25, 25, 25]"
54,prune,-0.013077613711357128,0.0025317162275314553,-0.47691146433353426,-0.47969056367874147,"[23, 23, 23, 23]"
57,none,-0.01826057434082029,-0.016819465160369862,-0.48575315773487093,-0.4630952775478363,"[23, 23, 23, 23]"
60,none,-0.026889410614967357,-0.01679993569850924,-0.48049300312995913,-0.46193516850471494,"[23, 23, 23, 23]"
63,none,-0.008002972602844216,-0.012085470557212818,-0.4628673940896988,-0.4612010568380356,"[23, 23, 23, 23]"
66,none,-0.014870676398277272,-0.00809624493122102,-0.4495224833488464,-0.4586554616689682,"[23, 23, 23, 23]"
69,none,-0.013221585750579856,-0.007561993598937999,-0.4689971387386322,-0.4608661085367203,"[23, 23, 23, 23]"
73,prune,-0.004034173488616899,0.015014302730560314,-0.46018300354480746,-0.47225610315799715,"[21, 21, 21, 21]"
77,none,-0.02200470566749574,-0.030805158615112294,-0.45550075769424436,-0.45106449723243713,"[21, 21, 21, 21]"
81,none,-0.006913995742797885,-0.0056270480155944935,-0.458844992518425,-0.46094137728214263,"[21, 21, 21, 21]"
85,none,-0.02213233709335327,-0.016429299116134666,-0.43826176822185514,-0.4349230229854584,"[21, 21, 21, 21]"
90,none,-0.0122254759073257,-0.009661468863487233,-0.440978130698204,-0.4418849885463715,"[21, 21, 21, 21]"
95,none,-0.013700258731842052,-0.01544492840766909,-0.44158240854740144,-0.4392645388841629,"[21, 21, 21, 21]"
101,prune,-0.0291577488183975,0.003120768070220936,-0.4460251957178116,-0.4368232637643814,"[19, 19, 19, 19]"
107,none,-0.021527335047721863,-0.01031695902347568,-0.4322425901889801,-0.4335360586643219,"[19, 19, 19, 19]"
114,prune,-0.01630356311798098,0.005566501617431663,-0.4412204474210739,-0.443020835518837,"[18, 18, 18, 18]"
121,grow,0.004180473089218151,-0.006230542063713096,-0.4290707379579544,-0.4374329596757889,"[22, 18, 18, 18]"
129,prune,-0.0066212773323059415,0.009465053677558899,-0.44386940598487856,-0.4559296429157257,"[20, 17, 17, 17]"
138,none,-0.005481475591659568,-2.616643905661853e-06,-0.4324342221021652,-0.4309661865234375,"[20, 17, 17, 17]"
148,grow,0.013902479410171531,0.013385269045829817,-0.434892076253891,-0.4420539528131485,"[20, 17, 17, 21]"
159,none,-0.019563415646553006,-0.0008451551198959129,-0.432654470205307,-0.43256279528141023,"[20, 17, 17, 21]"
172,prune,-0.029530993103980996,0.009632742404937777,-0.435956797003746,-0.4346846014261246,"[18, 16, 16, 19]"
187,none,-0.025104266405105602,-0.018910983204841636,-0.4286936491727829,-0.4312613010406494,"[18, 16, 16, 19]"
