epoch,action,delta_grow,delta_prune,L_before,hidden_sizes
2,grow,0.3560304641723633,0.3165844440460204,-1.788193118572235,"[20, 16, 16, 16]"
4,grow,0.13973158597946167,0.13450555801391606,-1.1706767082214355,"[20, 20, 16, 16]"
6,grow,0.07965816259384151,0.07404716014862056,-0.8588388323783874,"[20, 20, 20, 16]"
8,grow,0.01691177487373352,0.009225547313690186,-0.7171266674995422,"[24, 20, 20, 16]"
10,grow,0.02252038121223454,-0.0014945030212402122,-0.6768802344799042,"[24, 20, 20, 20]"
12,prune,0.01187251210212703,0.03582236170768738,-0.6370591640472412,"[23, 19, 19, 19]"
14,grow,0.024452620744705222,0.01455986499786377,-0.5959758341312409,"[28, 19, 19, 19]"
16,grow,0.009387376904487654,0.0026633679866790994,-0.5605044841766358,"[28, 23, 19, 19]"
18,prune,0.017658510804176353,0.017937907576560996,-0.5458351850509644,"[27, 22, 18, 18]"
20,prune,0.010010230541229181,0.011120602488517761,-0.5296308666467666,"[26, 21, 17, 17]"
22,none,-0.016985556483268716,-0.0014102131128311823,-0.49906707406044004,"[26, 21, 17, 17]"
24,prune,-0.00771677792072295,0.0060874223709106445,-0.4897394359111786,"[25, 20, 16, 16]"
26,none,-0.00791188180446628,-0.009035491943359397,-0.48895670771598815,"[25, 20, 16, 16]"
28,none,-0.007857137918472312,-0.005306491255760215,-0.475208705663681,"[25, 20, 16, 16]"
30,grow,0.022218930721282948,-0.0029404282569885365,-0.48603883683681487,"[30, 20, 16, 16]"
32,none,-0.004494261741638195,-0.015702024102211,-0.46958259046077727,"[30, 20, 16, 16]"
34,none,-0.0010645478963851596,-0.01019926369190216,-0.45920584797859193,"[30, 20, 16, 16]"
36,grow,0.012125319242477395,0.011599063873291016,-0.47808962166309354,"[30, 20, 20, 16]"
38,prune,0.0012773931026458518,0.015247288346290577,-0.47125176191329954,"[29, 19, 19, 15]"
40,none,-0.0006291210651397372,-0.0009294897317886353,-0.4518758594989777,"[29, 19, 19, 15]"
42,none,-0.029982125759124734,-0.0040682166814803855,-0.44898025393486024,"[29, 19, 19, 15]"
44,prune,0.00977378189563749,0.015205374360084511,-0.46160663664340973,"[28, 18, 18, 14]"
46,grow,0.010110121965408336,0.008401516079902638,-0.45755915641784667,"[34, 18, 18, 14]"
48,grow,0.009429326653480508,-0.0015706598758697399,-0.4475184977054596,"[34, 22, 18, 14]"
51,none,-0.005789211392402627,-0.004640901088714566,-0.4329418927431107,"[34, 22, 18, 14]"
54,prune,-0.010904783010482755,0.003981959819793712,-0.44045632481575014,"[33, 21, 17, 13]"
57,none,-0.0036250948905944824,-0.0031816691160201915,-0.4331561177968979,"[33, 21, 17, 13]"
60,prune,-0.010701459646224987,0.006246471405029264,-0.43408198952674865,"[32, 20, 16, 12]"
63,prune,-0.01229897141456604,0.009115386009216297,-0.43233872056007383,"[31, 19, 15, 11]"
66,none,-0.02628101408481598,-0.0038999438285827193,-0.4244106650352478,"[31, 19, 15, 11]"
69,prune,0.0023661315441131925,0.005345609784126293,-0.4304650843143463,"[30, 18, 14, 10]"
73,prune,-0.010197439789772056,0.006053295731544506,-0.42189528346061705,"[29, 17, 13, 9]"
77,grow,0.0007026076316833385,-0.053298455476760875,-0.41692054271698,"[35, 17, 13, 9]"
81,none,-0.00893363356590271,-0.09320852756500242,-0.41227912306785586,"[35, 17, 13, 9]"
85,none,-0.000458994507789634,-0.10457547903060915,-0.4216525465250015,"[35, 17, 13, 9]"
90,grow,0.012102442979812611,-0.09349642992019658,-0.41180784106254575,"[35, 21, 13, 9]"
95,none,-0.0030051201581954845,-0.08607390522956848,-0.4209106802940369,"[35, 21, 13, 9]"
101,none,-0.005909112095832836,-0.08910441696643834,-0.41918753683567045,"[35, 21, 13, 9]"
107,none,-0.026884368062019326,-0.10432596504688263,-0.40641404688358307,"[35, 21, 13, 9]"
114,none,-0.01173599958419802,-0.09024124741554262,-0.4131881594657898,"[35, 21, 13, 9]"
121,none,-0.016933774948120095,-0.09567868709564209,-0.40775231420993807,"[35, 21, 13, 9]"
129,none,-0.0005778521299362183,-0.09159050583839412,-0.41539613902568817,"[35, 21, 13, 9]"
138,none,-0.019399219751358,-0.0987277895212173,-0.4036745071411133,"[35, 21, 13, 9]"
148,none,-0.004866459965705894,-0.11358508765697484,-0.4115082174539566,"[35, 21, 13, 9]"
159,none,-0.004019480943679821,-0.10086586773395545,-0.4138000816106796,"[35, 21, 13, 9]"
172,none,-0.013683679699897755,-0.1124480664730072,-0.42027688920497897,"[35, 21, 13, 9]"
187,none,-0.005221453309059099,-0.09685946702957149,-0.4238400548696518,"[35, 21, 13, 9]"
