epoch,action,delta_grow,delta_prune,L_before,hidden_sizes
2,grow,0.146108478307724,0.14014319777488704,-0.8584188938140869,"[154, 128, 128, 128]"
4,grow,0.024014091491699197,0.022248733043670588,-0.6454256534576416,"[154, 154, 128, 128]"
6,grow,0.010750615596771262,-0.004949307441711404,-0.577306717634201,"[154, 154, 154, 128]"
8,grow,0.008813959360122747,0.004340702295303367,-0.5531392335891724,"[154, 154, 154, 154]"
10,prune,-0.021277415752410933,0.021919000148773127,-0.5584399163722992,"[147, 147, 147, 147]"
12,prune,0.017918238043785006,0.042664676904678345,-0.5438144028186798,"[140, 140, 140, 140]"
14,grow,0.000668618083000172,-0.0037877529859542958,-0.4980257421731949,"[168, 140, 140, 140]"
16,prune,0.013109666109085039,0.03716873824596406,-0.5209327936172485,"[160, 133, 133, 133]"
18,prune,-0.025055995583534274,0.005951389670372009,-0.48709629774093627,"[152, 127, 127, 127]"
20,prune,-0.0008778899908065685,0.013974416255950972,-0.47272820174694063,"[145, 121, 121, 121]"
22,prune,-0.018703892827033997,0.004583278298377957,-0.45414250195026395,"[138, 115, 115, 115]"
24,none,-0.02441473603248595,-0.0007593393325805442,-0.45363802909851075,"[138, 115, 115, 115]"
26,prune,0.005568507313728321,0.00913952589035033,-0.44630989134311677,"[132, 110, 110, 110]"
28,grow,0.002335745096206654,-0.008190044760704063,-0.43131762742996216,"[132, 110, 110, 132]"
30,none,-0.012592250108718839,-0.005081227421760537,-0.4442097932100296,"[132, 110, 110, 132]"
32,prune,-0.02553430199623108,0.0010532051324844693,-0.43615386784076693,"[126, 105, 105, 126]"
34,none,-0.04182836413383484,-0.003716638684272744,-0.43086911737918854,"[126, 105, 105, 126]"
36,prune,-0.007752561569213834,0.009710022807121299,-0.43550361394882203,"[120, 100, 100, 120]"
38,prune,-0.016952842473983765,0.004440075159072909,-0.41539777219295504,"[114, 95, 95, 114]"
40,none,-0.004247060418129001,-0.0001564413309097512,-0.43191047608852384,"[114, 95, 95, 114]"
42,prune,-0.002227258682250932,0.0015358716249466164,-0.4145455747842789,"[109, 91, 91, 109]"
44,prune,0.000900498032569863,0.01995660662651061,-0.41975292563438416,"[104, 87, 87, 104]"
46,none,-0.009677135944366422,-0.007408979535102833,-0.412400358915329,"[104, 87, 87, 104]"
48,prune,-0.015296116471290588,0.009267523884773254,-0.4069224923849106,"[99, 83, 83, 99]"
51,prune,0.006013011932373025,0.0134794622659683,-0.40978825092315674,"[95, 79, 79, 95]"
54,prune,-0.012465411424636808,0.0007624000310897938,-0.39688379764556886,"[91, 76, 76, 91]"
57,prune,0.02057991027832029,0.050618666410446156,-0.43995703756809235,"[87, 73, 73, 87]"
60,none,-0.014790615439415011,-0.015121582150459278,-0.38261890709400176,"[87, 73, 73, 87]"
63,prune,-0.0049609869718551525,0.011454010009765592,-0.40137170553207396,"[83, 70, 70, 83]"
66,grow,0.005681508779525779,-0.00338631570339204,-0.39651255011558534,"[100, 70, 70, 83]"
69,prune,0.00022751092910766602,0.005076101422309853,-0.41585028171539307,"[95, 67, 67, 79]"
73,none,-0.012551808357238736,-0.007036742568016063,-0.38870174884796144,"[95, 67, 67, 79]"
77,prune,0.0021496951580047274,0.006555256247520402,-0.411902716755867,"[91, 64, 64, 76]"
81,prune,-0.009499773383140564,0.006606504321098328,-0.3886988520622253,"[87, 61, 61, 73]"
85,prune,-0.007329100370407127,0.008651554584503174,-0.3876200050115585,"[83, 58, 58, 70]"
90,prune,0.008037281036376909,0.01649535000324248,-0.4021421581506729,"[79, 56, 56, 67]"
95,none,-0.012353956699371338,-0.006432393193244901,-0.3760883331298828,"[79, 56, 56, 67]"
101,prune,0.006580984592437722,0.011241081357002247,-0.408937007188797,"[76, 54, 54, 64]"
107,none,-0.015641748905181885,-0.006158623099327132,-0.384472182393074,"[76, 54, 54, 64]"
114,prune,-0.0021350562572479137,0.004172235727310181,-0.3983009040355682,"[73, 52, 52, 61]"
121,prune,-0.013126745820045471,0.0011028319597244374,-0.40453827679157256,"[70, 50, 50, 58]"
129,prune,-0.006887635588645913,0.0032546520233154297,-0.4061353147029877,"[67, 48, 48, 56]"
138,none,-0.012686654925346375,-0.007475888729095437,-0.3887122839689255,"[67, 48, 48, 56]"
148,none,-0.007610914111137401,-0.007365798950195346,-0.40205374658107756,"[67, 48, 48, 56]"
159,prune,-0.028079941868782043,0.01088416576385498,-0.41563543677330017,"[64, 46, 46, 54]"
172,none,-0.013483348488807667,-0.009312161803245567,-0.4119478464126587,"[64, 46, 46, 54]"
187,prune,0.004780128598213196,0.023450180888175964,-0.4334037512540817,"[61, 44, 44, 52]"
