epoch,action,delta_grow,delta_prune,L_before,hidden_sizes
2,prune,0.12730752825737002,0.16674568057060246,-1.0004292607307435,"[244, 244, 244, 244]"
4,prune,-0.018762493133544944,0.05587754845619208,-0.7640913665294647,"[232, 232, 232, 232]"
6,none,-0.0018402040004730225,-0.01519537568092344,-0.7096164762973786,"[232, 232, 232, 232]"
8,prune,0.0007773458957672785,0.05336807370185859,-0.6766428887844086,"[221, 221, 221, 221]"
10,prune,-0.0312752246856689,0.011807352304458618,-0.6082011103630066,"[210, 210, 210, 210]"
12,prune,-0.00417178273200991,0.027757644653320312,-0.5928328454494476,"[200, 200, 200, 200]"
14,prune,-0.03329621553421025,0.003963714838027932,-0.5462523460388183,"[190, 190, 190, 190]"
16,prune,-0.04063941836357121,0.021803104877471835,-0.5441463410854339,"[181, 181, 181, 181]"
18,prune,-0.008276313543319702,0.016575732827186607,-0.5101828157901764,"[172, 172, 172, 172]"
20,prune,-0.02395547926425934,0.01162409782409668,-0.4891391545534134,"[164, 164, 164, 164]"
22,none,-0.027792659401893682,-5.557835102082409e-05,-0.48411635160446165,"[164, 164, 164, 164]"
24,prune,-0.00035902857780456543,0.02609001696109775,-0.5002763360738754,"[156, 156, 156, 156]"
26,none,-0.032722118496894825,-0.010005384683609009,-0.46272493302822115,"[156, 156, 156, 156]"
28,prune,-0.0003930121660232211,0.019682589173317,-0.4848435163497925,"[149, 149, 149, 149]"
30,none,-0.029577460885047868,-0.013554480671882585,-0.46049332022666933,"[149, 149, 149, 149]"
32,prune,-0.017778998613357577,0.008629775047302224,-0.4625967800617218,"[142, 142, 142, 142]"
34,prune,-0.014866632223129284,0.01042291522026062,-0.44393882155418396,"[135, 135, 135, 135]"
36,prune,-0.00905008614063263,0.015725788474082958,-0.4364232450723648,"[129, 129, 129, 129]"
38,prune,-0.0029405891895293856,0.008917537331581127,-0.4440810203552246,"[123, 123, 123, 123]"
40,none,-0.014408770203590382,-0.007495436072349537,-0.43212793469429017,"[123, 123, 123, 123]"
42,none,-0.007573223114013705,-0.01651730537414553,-0.4254791170358658,"[123, 123, 123, 123]"
44,prune,0.01724695265293119,0.02547916471958156,-0.45476402938365934,"[117, 117, 117, 117]"
46,prune,-0.007189512252807617,0.00633555054664614,-0.4197652041912079,"[112, 112, 112, 112]"
48,prune,0.0019443839788436668,0.032374912500381436,-0.43827235996723174,"[107, 107, 107, 107]"
51,prune,0.005956748127937284,0.026372709870338407,-0.42441058456897734,"[102, 102, 102, 102]"
54,none,-0.014599469304084789,-0.0034330785274505615,-0.4049866616725922,"[102, 102, 102, 102]"
57,none,-0.022860288619995117,-0.004358690977096513,-0.39745872616767886,"[102, 102, 102, 102]"
60,none,-0.024193367362022433,-0.015074497461319003,-0.39634071886539457,"[102, 102, 102, 102]"
63,prune,-0.003671652078628518,0.011193481087684642,-0.4167032212018967,"[97, 97, 97, 97]"
66,none,-0.013920485973358154,-0.006883007287979137,-0.38715308606624604,"[97, 97, 97, 97]"
69,prune,0.00616236627101896,0.014431691169738747,-0.4183785617351532,"[93, 93, 93, 93]"
73,none,-0.006442579627037093,-0.003219747543334983,-0.4056933730840683,"[93, 93, 93, 93]"
77,none,-0.009772419929504395,-0.006418550014495872,-0.39759007692337034,"[93, 93, 93, 93]"
81,none,-0.024576476216316256,-0.016115990281105053,-0.3969964265823364,"[93, 93, 93, 93]"
85,none,-0.017737364768981967,-0.00921832025051117,-0.40479869246482847,"[93, 93, 93, 93]"
90,none,-0.006440353393554699,-0.007959485054016113,-0.38838144242763517,"[93, 93, 93, 93]"
95,none,-0.016003963351249706,-0.006414040923118591,-0.3969972401857376,"[93, 93, 93, 93]"
101,none,-0.012362533807754539,-0.0011436551809311246,-0.39566836059093474,"[93, 93, 93, 93]"
107,prune,-0.007814016938209545,0.014788898825645436,-0.40771578848361967,"[89, 89, 89, 89]"
114,prune,-0.0018383473157883023,0.0008902966976165883,-0.40810017585754393,"[85, 85, 85, 85]"
121,prune,-0.0012339532375335582,0.008556643128395103,-0.4027693569660187,"[81, 81, 81, 81]"
129,prune,-0.0163161098957062,0.01304081380367278,-0.41106630861759186,"[77, 77, 77, 77]"
138,prune,-0.016327020525932323,0.010885998606681824,-0.3996264785528183,"[74, 74, 74, 74]"
148,none,-0.006018105149269093,-0.004517599940299988,-0.4069862633943558,"[74, 74, 74, 74]"
159,prune,-0.00025305747985843174,0.001641118526458707,-0.41355586647987364,"[71, 71, 71, 71]"
172,prune,0.00445973575115205,0.006236422061920155,-0.4087135821580887,"[68, 68, 68, 68]"
187,none,-0.011911678314208973,-0.01634111404418942,-0.42127126157283784,"[68, 68, 68, 68]"
