epoch,action,delta_grow,delta_prune,L_before,L_after_none,hidden_sizes
2,prune,-0.26658403873443604,0.2614466667175295,-2.5429173946380614,-2.411935329437256,"[231, 231, 231, 231]"
4,prune,-0.19338130950927734,0.21256177425384504,-2.1057848930358887,-2.073213267326355,"[208, 208, 208, 208]"
6,prune,-0.207285439968109,0.1643464684486391,-1.7769234895706176,-1.779545819759369,"[188, 188, 188, 188]"
8,prune,-0.16620304584503165,0.15040173530578604,-1.5855988025665284,-1.5698780417442322,"[170, 170, 170, 170]"
10,prune,-0.16733449697494507,0.12119404077529916,-1.393098032474518,-1.392275857925415,"[153, 153, 153, 153]"
12,prune,-0.10860571861267099,0.09952512979507433,-1.2570401906967164,-1.265649151802063,"[138, 138, 138, 138]"
14,prune,-0.10604076385498051,0.09569959044456477,-1.1459535598754882,-1.1310072064399719,"[125, 125, 125, 125]"
16,prune,-0.10315541028976427,0.04577700495719916,-1.0247793674468995,-1.0141038656234742,"[113, 113, 113, 113]"
18,prune,-0.11631588935852044,0.04847860336303711,-0.9472952783107758,-0.9356808423995971,"[102, 102, 102, 102]"
20,prune,-0.09077714085578925,0.06392774581909177,-0.8829548001289368,-0.8692360341548919,"[92, 92, 92, 92]"
22,prune,-0.08797430992126465,0.036487913131713845,-0.8035174489021302,-0.7993100106716156,"[83, 83, 83, 83]"
24,prune,-0.059674417972564675,0.04741426706314089,-0.751651382446289,-0.7604589760303497,"[75, 75, 75, 75]"
26,prune,-0.05323359966278074,0.04340370893478396,-0.7033014953136444,-0.7074025273323059,"[68, 68, 68, 68]"
28,prune,-0.04104163646698,0.05041509270668032,-0.6901574909687043,-0.6807347238063812,"[62, 62, 62, 62]"
30,prune,-0.0453164279460907,0.024360734224319502,-0.6489661335945129,-0.628531539440155,"[56, 56, 56, 56]"
32,prune,-0.056418550014495805,0.003057521581649847,-0.5993579864501953,-0.5933233976364136,"[51, 51, 51, 51]"
34,prune,-0.02542139887809758,0.026303428411483698,-0.5833544969558716,-0.5871932625770568,"[46, 46, 46, 46]"
36,prune,-0.02172911763191232,0.0049734592437743474,-0.5584130883216858,-0.5580046594142913,"[42, 42, 42, 42]"
38,prune,-0.030214577913284302,0.02130686342716226,-0.5306494951248169,-0.5355077266693116,"[38, 38, 38, 38]"
40,prune,-0.01817215085029611,0.010978496074676491,-0.5285850882530212,-0.5315100967884063,"[35, 35, 35, 35]"
42,none,-0.03144380152225501,-0.01432988643646238,-0.5198551774024963,-0.5073658287525177,"[35, 35, 35, 35]"
44,none,-0.0280471414327621,-0.0077371299266815186,-0.5029199838638305,-0.5024379193782806,"[35, 35, 35, 35]"
46,prune,0.0021762102842330933,0.0035717576742171353,-0.499684602022171,-0.5137537389993667,"[32, 32, 32, 32]"
48,none,-0.014647075533866905,-0.0020944923162460327,-0.4949448794126511,-0.49644111692905424,"[32, 32, 32, 32]"
51,prune,-0.03822122514247894,0.004395714402198769,-0.48489671051502226,-0.4883691817522049,"[29, 29, 29, 29]"
54,none,-0.034376701712608315,-0.01846350133419039,-0.4772672712802887,-0.4691971242427826,"[29, 29, 29, 29]"
57,none,-0.02648217678070075,-0.009474027156829878,-0.47707938551902773,-0.475072568655014,"[29, 29, 29, 29]"
60,none,-0.025742989778518688,-0.007590901851654064,-0.4603846788406372,-0.4668278157711029,"[29, 29, 29, 29]"
63,prune,-0.015434041619300842,0.0005228191614151112,-0.4655968725681305,-0.4678333103656769,"[27, 27, 27, 27]"
66,prune,-0.019018542766571056,0.010855641961097728,-0.4580249547958374,-0.4599638611078262,"[25, 25, 25, 25]"
69,none,-0.016722297668457065,-0.026965957880020153,-0.4537901371717453,-0.4497636020183563,"[25, 25, 25, 25]"
73,none,-0.021498173475265503,-0.013141500949859664,-0.45669832527637483,-0.45766801238059995,"[25, 25, 25, 25]"
77,none,-0.01604622006416323,-0.0015833586454391813,-0.4491736352443695,-0.4485586017370224,"[25, 25, 25, 25]"
81,none,-0.01093038320541384,-0.005990597605705306,-0.4598523199558258,-0.44434574842453,"[25, 25, 25, 25]"
85,none,-0.030338874459266696,-0.014550259709358249,-0.4426707774400711,-0.44278006851673124,"[25, 25, 25, 25]"
90,none,-0.024233829975128185,-0.013221952319145192,-0.45593392848968506,-0.45307154655456544,"[25, 25, 25, 25]"
95,none,-0.0323654145002365,-0.024733725190162648,-0.44488948583602905,-0.4413189023733139,"[25, 25, 25, 25]"
101,none,-0.013082414865493774,-0.00033163130283359044,-0.4500946938991547,-0.4474781364202499,"[25, 25, 25, 25]"
107,none,-0.015728896856308017,-0.023661708831787143,-0.44966630935668944,-0.446518275141716,"[25, 25, 25, 25]"
114,none,-0.02220769226551056,-0.006039682030677784,-0.4394862413406372,-0.4360010623931885,"[25, 25, 25, 25]"
121,none,-0.022815194725990307,-0.01584680676460265,-0.4432694047689438,-0.4345582157373428,"[25, 25, 25, 25]"
129,none,-0.020287618041038513,-0.001873499155044589,-0.4377777695655823,-0.44801696240901945,"[25, 25, 25, 25]"
138,none,-0.022215121984481778,-0.012548047304153431,-0.4398338168859482,-0.4366243898868561,"[25, 25, 25, 25]"
148,none,-0.016699278354644798,-0.001038774847984314,-0.4417911946773529,-0.4447054862976074,"[25, 25, 25, 25]"
159,none,-0.010577011108398426,-0.0014370560646057018,-0.44093249142169955,-0.4557151824235916,"[25, 25, 25, 25]"
172,none,-0.014496946334838834,-0.008732172846794117,-0.4467189788818359,-0.44201340675354006,"[25, 25, 25, 25]"
187,none,-0.011903390288352966,-0.007028961181640592,-0.4365069568157196,-0.44119428992271426,"[25, 25, 25, 25]"
