epoch,action,delta_grow,delta_prune,L_before,hidden_sizes
2,grow,0.22245121002197266,0.21679056882858272,-0.9682951629161834,"[77, 64, 64, 64]"
4,prune,0.020539087057113714,0.05732085704803469,-0.6606718838214874,"[74, 61, 61, 61]"
6,prune,0.05379150509834285,0.06545969843864441,-0.6045511662960052,"[71, 58, 58, 58]"
8,grow,0.010539245605468817,-0.012545573711395197,-0.5345134973526001,"[71, 70, 58, 58]"
10,grow,0.039874634146690346,0.029949304461479143,-0.5327836692333221,"[71, 70, 70, 58]"
12,none,-0.0035435944795608187,-0.012188810110092152,-0.4957446873188019,"[71, 70, 70, 58]"
14,prune,-0.01603260636329651,0.0007323801517486461,-0.48081476986408234,"[68, 67, 67, 56]"
16,prune,0.008238673210144043,0.020007917284965537,-0.4836225211620331,"[65, 64, 64, 54]"
18,none,-0.03778625130653385,-0.016008704900741577,-0.44492957293987273,"[65, 64, 64, 54]"
20,none,-0.011462944746017445,-0.000303417444229126,-0.4398569256067276,"[65, 64, 64, 54]"
22,prune,-0.0008860260248184093,0.011726576089858998,-0.44363709092140197,"[62, 61, 61, 52]"
24,none,-0.019494482874870267,-0.008737248182296709,-0.43399237990379336,"[62, 61, 61, 52]"
26,prune,-0.0034592658281326627,0.0017665266990661288,-0.4362392485141754,"[59, 58, 58, 50]"
28,prune,0.009003984928131092,0.023285552859306335,-0.44892479181289674,"[57, 56, 56, 48]"
30,none,-0.01261143684387206,-0.0010088324546813632,-0.4223927229642868,"[57, 56, 56, 48]"
32,grow,0.009916707873344421,0.009687864780425992,-0.4237439393997192,"[69, 56, 56, 48]"
34,prune,0.007488963007926952,0.011862215399742138,-0.4251661330461502,"[66, 54, 54, 46]"
36,none,-0.0034826993942260742,-0.011352148652076732,-0.42079172730445863,"[66, 54, 54, 46]"
38,prune,-0.002539527416229259,0.002479240298271179,-0.41231990456581114,"[63, 52, 52, 44]"
40,prune,0.0039587229490280484,0.012163758277893066,-0.4162934243679047,"[60, 50, 50, 42]"
42,grow,0.008836346864700306,0.002017885446548462,-0.40345587134361266,"[60, 50, 50, 51]"
44,none,-0.006670424342155479,-0.0041181236505508645,-0.3975049555301666,"[60, 50, 50, 51]"
46,none,-0.01941064894199368,-0.004698577523231495,-0.39251654744148257,"[60, 50, 50, 51]"
48,prune,-0.0016454935073852428,0.013341704010963407,-0.40836781561374663,"[57, 48, 48, 49]"
51,prune,-0.005097705125808705,0.01654636859893799,-0.40434572398662566,"[55, 46, 46, 47]"
54,prune,0.008192571997642506,0.02622604966163633,-0.41233302652835846,"[53, 44, 44, 45]"
57,prune,0.00532926619052887,0.0159394472837448,-0.4012733906507492,"[51, 42, 42, 43]"
60,prune,-0.001935887336730946,0.020675116777420066,-0.39494007229804995,"[49, 40, 40, 41]"
63,none,-0.012008044123649586,-0.013689517974853516,-0.37129047214984895,"[49, 40, 40, 41]"
66,prune,-0.02276902496814731,0.009249293804168668,-0.39238457679748534,"[47, 38, 38, 39]"
69,prune,-0.0002598017454147339,0.02391078770160676,-0.399126198887825,"[45, 37, 37, 38]"
73,none,-0.02331631183624272,-0.011033865809440657,-0.3656031996011734,"[45, 37, 37, 38]"
77,prune,-0.019889253377914418,0.0005826413631438987,-0.3704483091831207,"[43, 36, 36, 37]"
81,grow,0.014134746789932262,-0.004236403107643116,-0.3829713314771652,"[52, 36, 36, 37]"
85,grow,0.009300708770751953,0.006282633543014504,-0.3900524973869324,"[52, 36, 36, 45]"
90,prune,-0.012041980028152488,0.006480664014816284,-0.3863048553466797,"[50, 35, 35, 43]"
95,none,-0.023882240056991577,-0.0021288871765136608,-0.3826997965574265,"[50, 35, 35, 43]"
101,prune,-0.013823893666267406,0.0011183470487594604,-0.36955047249794004,"[48, 34, 34, 41]"
107,prune,-0.008927759528160106,0.012250947952270497,-0.38624067306518556,"[46, 33, 33, 39]"
114,none,-0.0031715214252471813,-0.0007790029048919678,-0.3721734434366226,"[46, 33, 33, 39]"
121,prune,-0.007231810688972495,0.0006234884262084628,-0.3791539579629898,"[44, 32, 32, 38]"
129,none,-0.011092066764831543,-0.011545246839523349,-0.368496960401535,"[44, 32, 32, 38]"
138,prune,-0.014316415786743197,0.0011528104543686024,-0.37563135027885436,"[42, 31, 31, 37]"
148,prune,-0.0060036927461624146,0.0012142688035964855,-0.3726769506931305,"[40, 30, 30, 36]"
159,none,-0.009470847249031078,-0.0002226799726486317,-0.37120260000228883,"[40, 30, 30, 36]"
172,none,-0.01643596589565277,-0.011651971936225858,-0.37892318665981295,"[40, 30, 30, 36]"
187,prune,-0.014184311032295227,0.005541849136352528,-0.37732928097248075,"[38, 29, 29, 35]"
