epoch,action,delta_grow,delta_prune,L_before,L_after_none,hidden_sizes
2,prune,-0.03252608776092536,0.025097322463989213,-0.8940789699554443,-0.789088225364685,"[231, 231, 231, 231]"
4,prune,0.009814178943634011,0.034269738197326594,-0.719834953546524,-0.6974449813365936,"[208, 208, 208, 208]"
6,prune,0.041534739732742354,0.04285633563995361,-0.6057771146297455,-0.6603034734725952,"[188, 188, 188, 188]"
8,none,-0.05069812536239626,-0.014189982414245628,-0.5681991517543793,-0.5330807983875274,"[188, 188, 188, 188]"
10,none,-0.022230425477027915,-0.0023598283529281394,-0.5571873724460602,-0.5380422085523605,"[188, 188, 188, 188]"
12,prune,-0.018965250253677346,0.04272325932979587,-0.5322760939598083,-0.537253874540329,"[170, 170, 170, 170]"
14,prune,-0.00047819912433622047,0.03086780309677123,-0.5049488127231598,-0.5113339781761169,"[153, 153, 153, 153]"
16,prune,0.003360569477081299,0.020836928486824058,-0.4730665773153305,-0.48690816164016726,"[138, 138, 138, 138]"
18,none,-0.05825022459030149,-0.015088635683059681,-0.4605058282613754,-0.43834208846092226,"[138, 138, 138, 138]"
20,prune,-0.004853495955467246,0.022519677877426147,-0.4693766921758652,-0.4504310190677643,"[125, 125, 125, 125]"
22,prune,-0.012751114368438732,0.009944847226142861,-0.44388286769390106,-0.4339708387851715,"[113, 113, 113, 113]"
24,none,-0.01809376180171962,-0.011429041624069214,-0.43241673409938813,-0.4107241421937943,"[113, 113, 113, 113]"
26,prune,-0.0001876622438430342,0.012661316990852378,-0.4350429505109787,-0.4210990607738495,"[102, 102, 102, 102]"
28,prune,-0.003923025727272045,0.006123429536819436,-0.4089244484901428,-0.40742915868759155,"[92, 92, 92, 92]"
30,prune,0.0011117815971374845,0.004549312591552779,-0.3915206640958786,-0.41126450300216677,"[83, 83, 83, 83]"
32,none,-0.019959339499473594,-0.005230066180229198,-0.394532835483551,-0.3763159245252609,"[83, 83, 83, 83]"
34,prune,-0.0020305603742599154,0.010382521152496327,-0.38970417678356173,-0.3938612163066864,"[75, 75, 75, 75]"
36,prune,-0.010244578123092651,0.006318050622940052,-0.3905422478914261,-0.38527199625968933,"[68, 68, 68, 68]"
38,none,-0.015787601470947266,-0.011475139856338523,-0.3970197528600693,-0.37781214714050293,"[68, 68, 68, 68]"
40,prune,-0.0038254648447036965,0.001996085047721863,-0.38478776514530183,-0.3911213010549545,"[62, 62, 62, 62]"
42,prune,-0.0076153218746185525,0.015130743384361267,-0.3725268214941025,-0.38586707711219786,"[56, 56, 56, 56]"
44,grow,0.007886889576911915,-0.008615630865097035,-0.37595510184764863,-0.39080564975738524,"[68, 56, 56, 56]"
46,none,-0.0028367310762405507,-0.00021019279956818737,-0.37903315424919126,-0.36685159504413606,"[68, 56, 56, 56]"
