epoch,train_loss_total,train_loss_nll,train_loss_kl,train_loss_penalty,train_acc,train_brier,val_loss_total,val_loss_nll,val_loss_kl,val_loss_penalty,val_acc,val_brier,param_count
1,2.098105915049289,2.083019510228583,0.015086401115231057,0.0,26.516666666666666,0.8497404797871908,1.8271914422512054,1.8121051490306854,0.015086246654391289,0.0,42.94166666666667,0.7835333302815756,57492
2,1.577703833580017,1.562616842858335,0.015086987551222456,0.0,51.14375,0.7050422477722168,1.3606276114781697,1.345539649327596,0.015087996609508991,0.0,57.71666666666667,0.6296032028198242,57492
3,1.1579572051129443,1.1428680394558197,0.01508916363595648,0.0,64.12916666666666,0.5416408996582032,1.025521715482076,1.0104312251011531,0.0150905204936862,0.0,66.16666666666667,0.4843595174153646,57492
4,0.9284865069896617,0.9133946236143721,0.015091880165199016,0.0,68.23541666666667,0.4399758440653483,0.8726218293110529,0.8575285623470942,0.015093276277184486,0.0,69.425,0.4127018508911133,57492
5,0.7957214522869029,0.7806268664116555,0.015094588173830763,0.0,72.23333333333333,0.37969247118632,0.7897850771745046,0.7746893664201101,0.015095716342329979,0.0,71.93333333333334,0.37979204559326174,57492
6,0.7226684258339253,0.7075715902003836,0.015096835574095554,0.0,74.66875,0.34968328348795574,0.7104054391384125,0.6953077018260956,0.015097763389348984,0.0,74.975,0.345924201965332,57492
7,0.682142454258939,0.6670436313811768,0.015098823492038758,0.0,75.87708333333333,0.33322407150268557,0.6777333716551462,0.6626334289709727,0.015099931508302689,0.0,76.025,0.3313523686726888,57492
8,0.6522436141967773,0.6371426937427926,0.015100920652138425,0.0,76.82916666666667,0.32098424339294435,0.655323788523674,0.6402218788862228,0.01510188914835453,0.0,77.38333333333334,0.320736696879069,57492
9,0.628115287486543,0.6130124267111433,0.015102859427954288,0.0,78.07916666666667,0.3095847403208415,0.6442269335190455,0.6291230569283167,0.015103870071470737,0.0,77.78333333333333,0.31485024515787763,57492
10,0.5962533747896235,0.5811485768632686,0.015104797807462673,0.0,79.23958333333333,0.2937399470011393,0.5879420439402262,0.5728363196055094,0.015105742029845715,0.0,79.4,0.2886420694986979,57492
11,0.590278409897013,0.575171985524766,0.015106426888799413,0.0,79.66666666666667,0.290516705195109,0.5878044913212458,0.5726973960796992,0.015107093378901482,0.0,79.80833333333334,0.2871997960408529,57492
12,0.5634560864022438,0.5483485739281837,0.015107511602183606,0.0,80.58125,0.2779599272410075,0.5552704085906347,0.5401623596747717,0.015108030289411545,0.0,81.1,0.2711384595235189,57492
13,0.5558922766370976,0.5407835340246241,0.015108742196350656,0.0,80.85,0.2739981861114502,0.5856519887844721,0.5705424497524897,0.015109514817595482,0.0,79.85833333333333,0.28647121938069664,57492
14,0.5443217196363084,0.529211293509666,0.015110421866337036,0.0,81.23125,0.26821331850687663,0.5549344122409821,0.5398231446743011,0.015111261047422886,0.0,80.55833333333334,0.27391354115804034,57492
15,0.5310185887712113,0.5159066300442878,0.015111960094184317,0.0,81.80833333333334,0.26182954025268557,0.5490994453430176,0.5339868689576784,0.015112563036382198,0.0,81.38333333333334,0.2684004669189453,57492
16,0.5121559196330131,0.4970426749675832,0.015113244804137565,0.0,82.5875,0.25091237513224285,0.5249219462275505,0.5098079368472099,0.015114018693566322,0.0,81.80833333333334,0.25712527720133466,57492
17,0.5117197537675817,0.4966050215224002,0.015114732998165679,0.0,82.49583333333334,0.25137617874145507,0.5447946886221567,0.5296793083349863,0.015115395188331604,0.0,81.11666666666666,0.2705646197001139,57492
18,0.49614297202292906,0.4810270825599102,0.015115890077295456,0.0,82.88333333333334,0.24430928548177083,0.5307587484518687,0.5156424790620804,0.015116250142455101,0.0,81.78333333333333,0.2608833338419596,57492
19,0.5023834407329559,0.4872665652569304,0.015116875178794911,0.0,82.74583333333334,0.24843804295857747,0.5337599565585455,0.5186421995361646,0.015117743983864784,0.0,81.625,0.2620212097167969,57492
20,0.48824869318211334,0.4731302965194621,0.015118396028559258,0.0,83.27708333333334,0.2405028149286906,0.5067074249188105,0.4915883516271909,0.015119067393243313,0.0,82.70833333333333,0.24776403045654297,57492
21,0.4848442166409594,0.46972428103710745,0.01511993637665155,0.0,83.29375,0.23943277231852214,0.49530747284491855,0.48018672813971836,0.015120754949748516,0.0,83.3,0.24022242228190105,57492
22,0.4886359692888057,0.47351443704138413,0.015121535516958287,0.0,83.0875,0.24256481583913167,0.5016742721199989,0.48655181129773456,0.015122450888156891,0.0,82.91666666666667,0.24533525975545248,57492
23,0.4687802664777066,0.45365719465499227,0.015123069979884524,0.0,84.02708333333334,0.23051923624674478,0.5004837984840075,0.48536013066768646,0.01512366533279419,0.0,83.18333333333334,0.24597540791829428,57492
24,0.46761375031572705,0.45248957200253265,0.015124178669871167,0.0,84.07083333333334,0.23051421324412028,0.5203179394205412,0.5051931415994962,0.015124806202948093,0.0,82.23333333333333,0.25623037974039714,57492
25,0.4659236897813513,0.45079798330651955,0.015125706514462512,0.0,83.95625,0.22993213431040446,0.49472128103176755,0.4795948689182599,0.015126409009099007,0.0,83.225,0.24248469416300455,57492
26,0.4575432906759546,0.4424164295196533,0.015126860007009607,0.0,84.20416666666667,0.22559158579508465,0.4824603001276652,0.4673328995704651,0.0151273924857378,0.0,83.46666666666667,0.23560696665445963,57492
27,0.4529646470191631,0.4378367002974165,0.015127947613438393,0.0,84.26041666666667,0.2237517407735189,0.48818059762318927,0.47305212169885635,0.015128472819924355,0.0,83.70833333333333,0.23689944966634113,57492
28,0.44514683903531826,0.4300177186093432,0.015129122169727975,0.0,84.58125,0.22054228432973225,0.4817492018143336,0.4666195760170619,0.015129612758755684,0.0,83.6,0.23527473958333334,57492
29,0.4475341902134266,0.43240431775438026,0.015129872577938628,0.0,84.36458333333333,0.22310057322184246,0.48782262951135635,0.47269227107365924,0.015130359679460526,0.0,82.85,0.24282459131876627,57492
30,0.44749335469083584,0.4323624055436317,0.015130947542158848,0.0,84.52083333333333,0.2212505038579305,0.4780162995060285,0.46288464466730755,0.015131658874452114,0.0,83.76666666666667,0.23433178202311197,57492
31,0.43754006066220874,0.4224078528424527,0.015132208790709364,0.0,84.84375,0.21707372824350993,0.46766790250937146,0.45253514995177585,0.015132743865251541,0.0,84.30833333333334,0.22732173665364583,57492
32,0.43125235717347327,0.4161191956794008,0.015133161870564552,0.0,85.17083333333333,0.213170711517334,0.4612429141998291,0.4461092948913574,0.015133608132600784,0.0,84.30833333333334,0.2265252914428711,57492
