epoch,train_loss_total,train_loss_nll,train_loss_kl,train_loss_penalty,train_acc,train_brier,val_loss_total,val_loss_nll,val_loss_kl,val_loss_penalty,val_acc,val_brier,param_count
1,1.6149927022609305,1.4593220581399633,0.07976164335900164,0.07590899999999991,47.62708333333333,0.6504649511973063,1.1371206144491832,0.981454387307167,0.0797571912407875,0.07590899999999999,65.16666666666667,0.47666487884521486,303636
2,0.9616654388448025,0.8060041995758706,0.0797522301052479,0.07590899999999991,70.23125,0.4004592831929525,0.857747087876002,0.7020914057890574,0.07974664121866226,0.07590899999999999,74.26666666666667,0.35291287358601886,303636
3,0.7455633992844439,0.5995033434096803,0.07480705069734696,0.071253,77.86666666666666,0.3077775783538818,0.7308500955502192,0.5848015497128168,0.07479552179574966,0.071253,79.14166666666667,0.2989723192850749,285012
4,0.7141299095559628,0.5680910120619104,0.07478589517004947,0.071253,78.92708333333333,0.29219642066955565,0.7053930163383484,0.5593640208244324,0.07477598637342453,0.071253,80.16666666666667,0.2846347236633301,285012
5,0.6378034974666352,0.5011525851614932,0.06994591906983802,0.06670499999999993,81.8625,0.25774974791208904,0.6268970717986425,0.4902578294277191,0.06993427127599716,0.066705,82.55,0.25102842585245766,266820
6,0.6141251376334657,0.47749559993439533,0.06992454906093314,0.06670499999999993,82.57916666666667,0.24681444104512532,0.60733134051164,0.4707120781143506,0.06991427391767502,0.066705,83.425,0.2419610684712728,266820
7,0.5851164732841735,0.45614420606734907,0.06597474629574633,0.06299749999999996,83.45416666666667,0.2354671681722005,0.5600565473238627,0.43109579135974246,0.0659632459282875,0.06299750000000001,84.65,0.22082219696044922,251990
8,0.5668207470406877,0.4378693141835801,0.0659539225570699,0.06299749999999996,83.98958333333333,0.22620130697886148,0.5851617852846781,0.4562194347381592,0.0659448429942131,0.06299750000000001,83.175,0.23692195638020833,251990
9,0.5453338661092393,0.42387082919161373,0.06209805401715827,0.05936499999999999,84.54166666666667,0.2202592757542928,0.5381269107262293,0.41667381674051285,0.06208811327815056,0.059364999999999994,84.95,0.2141417630513509,237460
10,0.5282649936828208,0.406821017569684,0.062078987030272786,0.05936499999999999,85.11041666666667,0.21132351303100586,0.5335959121584892,0.4121607417861621,0.062070202082395554,0.059364999999999994,85.20833333333333,0.2137635154724121,237460
11,0.5195178915845587,0.40540862907754616,0.05830176626431181,0.05580749999999995,85.12916666666666,0.2107858206431071,0.5012349685033163,0.3871341869235039,0.058293286710977554,0.0558075,85.94166666666666,0.19975307210286458,223230
12,0.49423283655592737,0.3801395658482897,0.058285772324876584,0.05580749999999995,86.18125,0.19782885646820067,0.5080323840181032,0.3939470052719116,0.058277878910303116,0.0558075,85.8,0.20339194107055664,223230
13,0.4913543811503877,0.3844282512969159,0.05460112415095593,0.052325,85.88125,0.2008912213643392,0.5023860683043798,0.39546868950128555,0.054592374712228775,0.05232499999999999,85.69166666666666,0.20423203023274739,209300
14,0.48093471628554324,0.37402425040590004,0.05458545454956116,0.052325,86.15625,0.19571228631337484,0.4957312097152074,0.38882694641749066,0.0545792430639267,0.05232499999999999,85.85,0.2001623051961263,209300
15,0.4687293767929077,0.36744606685131154,0.051690309288653924,0.049592999999999964,86.5375,0.19194424215952555,0.48208140581846237,0.38080503791570663,0.05168337747454643,0.049593,86.11666666666666,0.19789162826538087,198372
16,0.46033366119607966,0.35906333175111327,0.05167732792014771,0.049592999999999964,86.79166666666667,0.18825881385803223,0.48114144057035446,0.3798767700791359,0.05167166888713837,0.049593,86.2,0.19684811782836914,198372
17,0.44798414694502,0.3522404609842503,0.048834682699847726,0.04690900000000002,87.05,0.18434075355529786,0.45223159591356915,0.3564936916033427,0.04882889986038208,0.046908999999999985,87.20833333333333,0.18456517473856607,187636
18,0.4414105434366997,0.34567762689387543,0.048823913757471325,0.04690900000000002,87.23541666666667,0.18167298444112143,0.4686760678887367,0.3729480604330699,0.04881901666522026,0.046908999999999985,86.21666666666667,0.19469859822591146,187636
19,0.43611719760488954,0.34579912652360634,0.04604508038213913,0.044273,87.22083333333333,0.18220820490519204,0.445243775844574,0.3549308180809021,0.04603996127843857,0.044273,87.33333333333333,0.18232629712422688,177092
20,0.42261890147594694,0.33230996797693535,0.04603594430583589,0.044273,87.68333333333334,0.1746331548690796,0.4503786688049634,0.3600733106335004,0.0460323691368103,0.044273,86.90833333333333,0.18627228673299154,177092
