epoch,action,delta_grow,delta_prune,L_before,L_after_none,hidden_sizes
2,prune,-0.09387474060058598,0.03441805243492135,-1.0785664677619935,-0.9780140399932862,"[116, 116, 116, 116]"
4,prune,-0.062409001588821456,0.047020673751831055,-0.8918916583061218,-0.8654722034931183,"[105, 105, 105, 105]"
6,prune,-0.05214740633964543,0.03450518250465384,-0.7791301369667053,-0.7780763328075408,"[95, 95, 95, 95]"
8,prune,-0.033675390481948786,0.0504561841487885,-0.732404214143753,-0.7115852415561676,"[86, 86, 86, 86]"
10,prune,-0.03535122275352476,0.00016269683837899507,-0.6627406060695649,-0.6533495366573334,"[78, 78, 78, 78]"
12,prune,-0.051848435401916526,0.016743510961532593,-0.6140316367149353,-0.6124716103076935,"[71, 71, 71, 71]"
14,prune,-0.015545946359634466,0.02650988698005674,-0.5829868793487549,-0.5929843604564666,"[64, 64, 64, 64]"
16,prune,-0.031224447488784834,0.004847675561904907,-0.5612513482570648,-0.5546179234981536,"[58, 58, 58, 58]"
18,none,-0.02503154873847957,-0.0012185811996459073,-0.5283108204603195,-0.5399775087833405,"[58, 58, 58, 58]"
20,prune,-0.03093881011009214,0.014736619591713018,-0.5427300602197647,-0.5387064754962921,"[53, 53, 53, 53]"
22,prune,-0.013839370012283303,0.01374131441116333,-0.5043633997440338,-0.5247395932674408,"[48, 48, 48, 48]"
24,none,-0.034391519427299566,-0.017075839638710066,-0.5085888922214508,-0.4884189128875732,"[48, 48, 48, 48]"
26,none,-0.0289254009723664,-0.01384009718894963,-0.4946445465087891,-0.4895507454872131,"[48, 48, 48, 48]"
28,none,-0.041135960817337,-0.0005332797765731923,-0.4926249265670776,-0.49391846656799315,"[48, 48, 48, 48]"
30,prune,-0.0184631764888763,0.005629518628120445,-0.49991059899330137,-0.4864742994308472,"[44, 44, 44, 44]"
32,none,-0.026097172498703025,-0.001557186245918274,-0.480782613158226,-0.4802520424127579,"[44, 44, 44, 44]"
34,prune,-0.022419366240501393,0.012100917100906383,-0.4897445201873779,-0.4770570874214172,"[40, 40, 40, 40]"
36,prune,-0.011359289288520813,0.01820200979709624,-0.4644923537969589,-0.4742317348718643,"[36, 36, 36, 36]"
38,none,-0.01552518904209138,-0.019868099689483665,-0.45945667028427123,-0.4561746418476105,"[36, 36, 36, 36]"
40,none,-0.014753803610801697,-4.4986605644226074e-05,-0.46801466941833497,-0.46209279298782346,"[36, 36, 36, 36]"
42,none,-0.025301781296730053,-0.003265887498855591,-0.4596110939979553,-0.44918546080589294,"[36, 36, 36, 36]"
44,none,-0.02421422004699708,-0.0016727656126022672,-0.44466108083724976,-0.4445249795913696,"[36, 36, 36, 36]"
46,none,-0.045141571760177635,-0.00148870050907135,-0.4552300810813904,-0.45092191100120543,"[36, 36, 36, 36]"
48,prune,-0.011041495203971852,0.0006442546844482866,-0.4477607667446136,-0.44097127914428713,"[33, 33, 33, 33]"
51,none,-0.022654658555984475,-0.005226379632949807,-0.4432815194129944,-0.4416838735342026,"[33, 33, 33, 33]"
54,none,-0.019258356094360385,-0.009957587718963656,-0.4422337144613266,-0.4470530927181244,"[33, 33, 33, 33]"
57,none,-0.006336197257041931,-0.0022367537021636963,-0.4274487793445587,-0.4458125174045563,"[33, 33, 33, 33]"
60,none,-0.01918720006942748,-0.006081408262252785,-0.4517782837152481,-0.4382093369960785,"[33, 33, 33, 33]"
63,none,-0.009781545400619485,-0.009716907143592801,-0.4370378166437149,-0.4272446006536484,"[33, 33, 33, 33]"
66,none,-0.02339976727962495,-0.012648123502731368,-0.436117547750473,-0.4187727332115173,"[33, 33, 33, 33]"
69,none,-0.012407827377319325,-0.01703570187091824,-0.42612302899360655,-0.420543310046196,"[33, 33, 33, 33]"
73,none,-0.012569415569305409,-0.008247944712638844,-0.4282562226057053,-0.42033727169036866,"[33, 33, 33, 33]"
77,none,-0.026662275195121765,-0.004513788223266646,-0.4289685845375061,-0.4201983422040939,"[33, 33, 33, 33]"
81,none,-0.023227116465568576,-0.0075077295303344616,-0.44720550775527956,-0.43198091089725493,"[33, 33, 33, 33]"
85,none,-0.018944138288497947,-0.01838405430316925,-0.42569772601127626,-0.41697617471218107,"[33, 33, 33, 33]"
