epoch,action,delta_grow,delta_prune,L_before,hidden_sizes
2,prune,0.06142482757568357,0.15326545834541316,-0.9476448714733123,"[244, 244, 244, 244]"
4,prune,0.022858846187591597,0.11611675024032597,-0.7795588850975037,"[232, 232, 232, 232]"
6,prune,-0.11128343343734737,0.01229084730148311,-0.65208500623703,"[221, 221, 221, 221]"
8,prune,0.0019027173519133855,0.007731682062149026,-0.6230708718299866,"[210, 210, 210, 210]"
10,prune,-0.04118056893348698,0.014497488737106323,-0.5726409614086151,"[200, 200, 200, 200]"
12,prune,-0.017845150828361578,0.00281394422054293,-0.5486126154661178,"[190, 190, 190, 190]"
14,prune,-0.003700500726699807,0.021824166178703308,-0.5329847991466522,"[181, 181, 181, 181]"
16,prune,-0.004212391376495428,0.021911063790321317,-0.5028330296278,"[172, 172, 172, 172]"
18,prune,-0.012796929478645358,0.011797779798507657,-0.4870432376861572,"[164, 164, 164, 164]"
20,prune,-0.0035511016845702903,0.009980237483978305,-0.47528879046440126,"[156, 156, 156, 156]"
22,prune,-0.006901952624320973,0.026381441950798057,-0.46249976456165315,"[149, 149, 149, 149]"
24,prune,-0.012171480059623763,0.01219642162322998,-0.4558804243803024,"[142, 142, 142, 142]"
26,prune,-0.03052452504634856,0.0032235860824585405,-0.4368069708347321,"[135, 135, 135, 135]"
28,prune,-0.015156814455986045,0.007115054130554188,-0.41953513622283933,"[129, 129, 129, 129]"
30,none,-0.021962454915046725,-0.014355722069740284,-0.4112438291311264,"[129, 129, 129, 129]"
32,none,-0.018866196274757385,-6.356239318849877e-05,-0.41959752440452575,"[129, 129, 129, 129]"
34,prune,-0.016988956928253196,0.008856037259101834,-0.41730411648750304,"[123, 123, 123, 123]"
36,none,-0.025529980659484863,-0.0018780529499053955,-0.3979438543319702,"[123, 123, 123, 123]"
38,prune,0.0057365387678146584,0.011758333444595315,-0.4106537997722626,"[117, 117, 117, 117]"
40,none,-0.025163021683692943,-0.005906492471694946,-0.38399654924869536,"[117, 117, 117, 117]"
42,none,-0.010846006870269764,-0.006519740819931008,-0.39578081369400026,"[117, 117, 117, 117]"
44,grow,0.025388756394386314,0.02532693147659304,-0.4402004420757294,"[141, 117, 117, 117]"
46,none,-0.010528627038002003,-0.0018333971500396617,-0.40698008239269257,"[141, 117, 117, 117]"
48,prune,-0.02771813273429874,0.004851347208023049,-0.3983967661857605,"[134, 112, 112, 112]"
51,prune,0.0010217815637588168,0.009085577726364091,-0.4052823394536972,"[128, 107, 107, 107]"
54,none,-0.0046396404504776,-0.012720561027526889,-0.3932724356651306,"[128, 107, 107, 107]"
57,prune,0.0005615979433059581,0.015919268131256104,-0.40299016833305357,"[122, 102, 102, 102]"
60,prune,-0.02722314894199368,0.0009259372949600442,-0.39161640107631684,"[116, 97, 97, 97]"
63,none,-0.01565740704536439,-0.004835683107376143,-0.382311737537384,"[116, 97, 97, 97]"
66,none,-0.013631141185760476,-0.0026027500629424716,-0.377171927690506,"[116, 97, 97, 97]"
69,none,-0.004362255334854126,-0.004246851801872287,-0.3925093740224838,"[116, 97, 97, 97]"
73,grow,0.010662838816642761,0.0006377428770065197,-0.40451406240463256,"[116, 97, 97, 117]"
77,none,-0.003738796710968051,-0.001732778549194347,-0.40264447331428527,"[116, 97, 97, 117]"
81,prune,-0.021497812867164623,0.00020065605640412487,-0.39079803228378296,"[111, 93, 93, 112]"
85,none,-0.022917988896369923,-0.004777157306671109,-0.38595266044139864,"[111, 93, 93, 112]"
90,none,-0.01794356107711792,-0.018877115845680248,-0.40281161665916443,"[111, 93, 93, 112]"
95,none,-0.01735902428627012,-0.003024530410766557,-0.3978936314582825,"[111, 93, 93, 112]"
101,prune,-0.017457395792007446,0.001155492663383495,-0.40408897399902344,"[106, 89, 89, 107]"
107,prune,-0.0074022263288497925,0.006383308768272422,-0.407688045501709,"[101, 85, 85, 102]"
114,none,-0.011174052953720093,-0.01451223790645595,-0.38975208401679995,"[101, 85, 85, 102]"
121,prune,-0.006434750556945756,0.023962402343750022,-0.41304376125335696,"[96, 81, 81, 97]"
129,prune,-0.019797593355178833,0.004198703169822682,-0.4087078273296356,"[92, 77, 77, 93]"
138,prune,-0.0013585686683654785,0.0065941959619522095,-0.4118128001689911,"[88, 74, 74, 89]"
148,prune,0.003094327449798595,0.01005630493164067,-0.4082599222660065,"[84, 71, 71, 85]"
159,none,-0.015317240357399009,-0.016701555252075173,-0.4001312851905823,"[84, 71, 71, 85]"
172,grow,0.016290080547332775,0.013395589590072643,-0.42521936893463136,"[101, 71, 71, 85]"
187,none,-0.02659461200237273,-0.009121343493461609,-0.4329419583082199,"[101, 71, 71, 85]"
