epoch,action,delta_grow,delta_prune,L_before,L_after_none,hidden_sizes
2,prune,-0.14115477800369258,0.13630608320236215,-1.8032230257987976,-1.589769220352173,"[231, 231, 231, 231]"
4,prune,-0.09371255636215214,0.1540528893470765,-1.38423490524292,-1.3830936551094055,"[208, 208, 208, 208]"
6,prune,-0.08689887523651119,0.13246465921401973,-1.2255824565887452,-1.2249186515808106,"[188, 188, 188, 188]"
8,prune,-0.16091549396514893,0.047956013679504306,-1.089565360546112,-1.0462156772613525,"[170, 170, 170, 170]"
10,prune,-0.09650299549102781,0.03838638663291938,-0.9793205559253693,-0.9579302906990051,"[153, 153, 153, 153]"
12,prune,-0.10566641092300422,0.07497042417526245,-0.8825354874134064,-0.8775210499763488,"[138, 138, 138, 138]"
14,prune,-0.05771614313125617,0.07094864845275872,-0.8307816326618195,-0.8189393937587738,"[125, 125, 125, 125]"
16,prune,-0.08740335106849662,0.02605742812156686,-0.7378340065479279,-0.7337761700153351,"[113, 113, 113, 113]"
18,prune,-0.045752882957458496,0.016294896602630615,-0.7073146104812622,-0.695557051897049,"[102, 102, 102, 102]"
20,prune,-0.07880140542984004,0.025227767229080267,-0.6719489812850952,-0.653123551607132,"[92, 92, 92, 92]"
22,prune,-0.030841016769409202,0.03264172673225407,-0.6240411162376404,-0.6251758337020874,"[83, 83, 83, 83]"
24,prune,-0.04294556379318237,0.012808585166931175,-0.5804303884506226,-0.5875764489173889,"[75, 75, 75, 75]"
26,prune,-0.024620920419692993,0.007176798582077093,-0.5535223364830018,-0.5619252502918244,"[68, 68, 68, 68]"
28,none,-0.027268731594085716,-0.0001254558563232866,-0.5415969491004944,-0.5447590410709381,"[68, 68, 68, 68]"
30,none,-0.04218384623527527,-0.03049307465553286,-0.5307586550712585,-0.5287840723991394,"[68, 68, 68, 68]"
32,prune,-0.04266085028648381,0.02690871357917779,-0.5204952955245972,-0.5342995047569274,"[62, 62, 62, 62]"
34,none,-0.02909458279609678,-0.014936715364456177,-0.5098048388957978,-0.5125744879245758,"[62, 62, 62, 62]"
36,prune,-0.03481815457344051,0.006867557764053345,-0.5273863732814789,-0.514919662475586,"[56, 56, 56, 56]"
