epoch,action,delta_grow,delta_prune,L_before,hidden_sizes
2,prune,0.36346020698547377,0.37869489192962646,-1.80562082529068,"[15, 15, 15, 15]"
4,grow,0.13566296696662894,0.1292674899101257,-1.114170742034912,"[18, 15, 15, 15]"
6,grow,0.060780423879623346,0.050008589029312045,-0.8656587421894073,"[18, 18, 15, 15]"
8,grow,0.02795781493186955,0.012647229433059737,-0.7558275699615479,"[22, 18, 15, 15]"
10,grow,0.03918001055717468,0.030421102046966464,-0.6844370782375335,"[22, 18, 18, 15]"
12,grow,0.066405576467514,0.05956925749778741,-0.6727215766906738,"[27, 18, 18, 15]"
14,grow,0.034628719091415405,0.022033536434173606,-0.5788794100284577,"[27, 22, 18, 15]"
16,prune,-0.0053561955690383245,0.0021985381841659324,-0.5337395161390305,"[26, 21, 17, 14]"
18,grow,0.021243324875831582,0.020627757906913735,-0.5158326387405395,"[32, 21, 17, 14]"
20,prune,0.00295451283454895,0.0032446593046188132,-0.5006623923778534,"[31, 20, 16, 13]"
22,prune,0.0021430939435959084,0.013907098770141624,-0.49991031885147097,"[30, 19, 15, 12]"
24,prune,0.006286177039146468,0.011508566141128551,-0.4845184326171875,"[29, 18, 14, 11]"
26,grow,0.014802441000938416,0.009284645318984985,-0.4812317878007889,"[29, 18, 17, 11]"
28,prune,0.006734713912010193,0.013652631640434232,-0.46844668984413146,"[28, 17, 16, 10]"
30,none,-0.004905799031257652,-0.01831379234790803,-0.4412855714559555,"[28, 17, 16, 10]"
32,grow,0.0012659579515457153,-0.000757586956024181,-0.44611784517765046,"[34, 17, 16, 10]"
34,none,-0.0029463887214660756,-0.007972761988639832,-0.4341792821884155,"[34, 17, 16, 10]"
36,grow,0.00820899605751041,-0.00038183033466338,-0.43901880979537966,"[34, 21, 16, 10]"
38,none,-0.003948402404785167,-0.03234559595584868,-0.42864775359630586,"[34, 21, 16, 10]"
40,none,-0.018766164779663086,-0.0005015343427657859,-0.42500017285346986,"[34, 21, 16, 10]"
42,prune,0.0023167908191680797,0.0033084988594054843,-0.420675790309906,"[33, 20, 15, 9]"
44,grow,0.0007527053356170543,-0.018330532312393233,-0.427296569943428,"[40, 20, 15, 9]"
46,grow,0.003945055603981007,-0.017114034295082126,-0.43083423674106597,"[40, 24, 15, 9]"
48,none,-0.013749012351036094,-0.021041378378868103,-0.4194419890642166,"[40, 24, 15, 9]"
51,none,-0.005654361844062816,-0.015755200386047385,-0.4084113150835037,"[40, 24, 15, 9]"
54,none,-0.012951102852821361,-0.022644814848899852,-0.407218998670578,"[40, 24, 15, 9]"
57,none,-0.01070230305194858,-0.012219005823135398,-0.4081967085599899,"[40, 24, 15, 9]"
60,none,-0.010477468371391296,-0.010884782671928384,-0.40743641257286073,"[40, 24, 15, 9]"
63,none,-0.010793718695640608,-0.007266607880592357,-0.3969366461038589,"[40, 24, 15, 9]"
66,grow,0.003927940130233731,-0.004936510324478172,-0.40682529509067533,"[48, 24, 15, 9]"
69,none,-0.005508890748023965,-0.01529645621776582,-0.40745496451854707,"[48, 24, 15, 9]"
73,grow,0.0024017304182052945,-0.01645139455795286,-0.39797144532203677,"[48, 29, 15, 9]"
77,none,-0.0048886924982071145,-0.010579735040664673,-0.40256211459636687,"[48, 29, 15, 9]"
81,none,-0.013122567534446683,-0.012871736288070645,-0.40093174278736116,"[48, 29, 15, 9]"
85,prune,0.017914071679115295,0.01925072669982908,-0.4138370931148529,"[46, 28, 14, 8]"
90,grow,0.00163252353668214,-0.006229609251022339,-0.4009847491979599,"[56, 28, 14, 8]"
95,none,-0.0030021071434020996,-0.009653022885322549,-0.3976745307445526,"[56, 28, 14, 8]"
101,none,-0.013360476493835427,-0.008260712027549744,-0.39780442118644715,"[56, 28, 14, 8]"
107,none,-0.017519024014472973,-0.010241141915321383,-0.3877423763275146,"[56, 28, 14, 8]"
114,prune,-0.00019129812717438854,0.0034287542104720625,-0.3915808707475662,"[54, 27, 13, 7]"
121,grow,0.0025011688470840676,-0.05271944105625148,-0.3916319996118546,"[54, 33, 13, 7]"
129,none,-0.015234524011611905,-0.04955686628818512,-0.37612069845199586,"[54, 33, 13, 7]"
138,none,-0.013155177235603333,-0.05117413997650144,-0.3880544126033783,"[54, 33, 13, 7]"
148,none,-0.009467199444770813,-0.03544312417507173,-0.388524717092514,"[54, 33, 13, 7]"
159,none,-0.00905805528163911,-0.04158200621604918,-0.38938456773757935,"[54, 33, 13, 7]"
172,none,-0.007101374864578236,-0.0365629643201828,-0.3912214308977127,"[54, 33, 13, 7]"
187,none,-0.013651451468467746,-0.032434874773025535,-0.4014091670513153,"[54, 33, 13, 7]"
