epoch,action,delta_grow,delta_prune,L_before,hidden_sizes
2,prune,0.07170131802558899,0.1087719619274139,-0.95030317902565,"[244, 244, 244, 244]"
4,grow,0.03267158269882198,0.0204917252063751,-0.7685344278812408,"[293, 244, 244, 244]"
6,prune,0.013307470083236739,0.027567774057388306,-0.6969191372394562,"[279, 232, 232, 232]"
8,prune,-0.015929865837097212,0.021773117780685358,-0.6601348042488098,"[266, 221, 221, 221]"
10,prune,0.00573514103889472,0.02828238010406503,-0.627777236700058,"[253, 210, 210, 210]"
12,prune,-0.028936082124710105,0.02702350020408628,-0.5871476352214813,"[241, 200, 200, 200]"
14,prune,0.009168136119842574,0.013320529460907005,-0.5648913383483887,"[229, 190, 190, 190]"
16,prune,-0.0036195933818817805,0.010881969332694919,-0.533833485841751,"[218, 181, 181, 181]"
18,prune,0.014640352129936196,0.032550925016403165,-0.5308493196964263,"[208, 172, 172, 172]"
20,prune,-0.016949138045310952,0.008042588829994202,-0.48352631032466886,"[198, 164, 164, 164]"
22,prune,-0.02373011708259576,0.019899123907089256,-0.5005973815917969,"[189, 156, 156, 156]"
24,prune,0.001116827130317688,0.02161458432674407,-0.48074339926242826,"[180, 149, 149, 149]"
26,prune,-0.014488318562507596,0.006584173440933261,-0.4527857840061188,"[171, 142, 142, 142]"
28,prune,-0.006635627150535561,0.004876461625099193,-0.4551542341709137,"[163, 135, 135, 135]"
30,prune,0.006599071621894825,0.016110464930534363,-0.4440379709005356,"[155, 129, 129, 129]"
32,grow,0.03177878856658939,0.028083771467208862,-0.4548659145832062,"[155, 129, 129, 155]"
34,prune,-0.012404567003250155,0.0006745398044585849,-0.4378868520259857,"[148, 123, 123, 148]"
36,none,-0.001355105638503995,-0.005239701271057107,-0.43605164885520936,"[148, 123, 123, 148]"
38,none,-0.036474305391311634,-0.015698081254959084,-0.415741503238678,"[148, 123, 123, 148]"
40,prune,-0.01912463903427125,0.004371544718742404,-0.4181161493062973,"[141, 117, 117, 141]"
42,prune,-0.0033147722482681496,0.013529247045516946,-0.42250980734825133,"[134, 112, 112, 134]"
44,prune,-0.006810867786407493,0.0208278685808182,-0.41897042095661163,"[128, 107, 107, 128]"
46,prune,-0.016440978646278415,0.0007018327713012584,-0.40347165167331694,"[122, 102, 102, 122]"
48,none,-0.012358719110488914,-0.008492463827133201,-0.3911976397037506,"[122, 102, 102, 122]"
51,none,-0.025131362676620528,-0.011575898528099093,-0.3995992302894592,"[122, 102, 102, 122]"
54,prune,-0.013829040527343739,0.00296952426433561,-0.3993266403675079,"[116, 97, 97, 116]"
57,prune,-0.016782966256141618,0.022247332334518477,-0.40598601996898653,"[111, 93, 93, 111]"
60,prune,-0.014721405506134044,0.001170164346694924,-0.383792445063591,"[106, 89, 89, 106]"
63,none,-0.01767660379409791,-0.011284938454627969,-0.38439896404743196,"[106, 89, 89, 106]"
66,prune,-0.0104571133852005,0.005356451869010903,-0.3967057079076767,"[101, 85, 85, 101]"
69,none,-0.015062439441680897,-0.002215772867202759,-0.3957797437906265,"[101, 85, 85, 101]"
73,prune,-0.014357000589370728,0.004618778824806213,-0.3885351061820984,"[96, 81, 81, 96]"
77,none,-0.019792720675468445,-0.005025094747543368,-0.3818915843963623,"[96, 81, 81, 96]"
81,prune,-0.0006000518798827681,0.019927421212196372,-0.39768152832984927,"[92, 77, 77, 92]"
85,prune,-0.017664709687232938,0.007721731066703819,-0.38882031440734866,"[88, 74, 74, 88]"
90,grow,0.00034838616847993054,-0.008825600147247314,-0.3839015305042267,"[106, 74, 74, 88]"
95,prune,0.005003505945205655,0.015444350242614757,-0.4023406386375427,"[101, 71, 71, 84]"
101,prune,0.0015958130359649547,0.012452897429466259,-0.39595224261283873,"[96, 68, 68, 80]"
107,none,-0.02084869146347046,-0.01144773960113521,-0.38896947503089907,"[96, 68, 68, 80]"
114,none,-0.04145585000514984,-0.003718632459640492,-0.37959696650505065,"[96, 68, 68, 80]"
121,grow,0.00924231708049772,0.0026697129011153953,-0.4140767216682434,"[96, 68, 68, 96]"
129,none,-0.0090429246425629,-0.003779822587966941,-0.4007828563451767,"[96, 68, 68, 96]"
138,prune,0.00015954077243807152,0.01903020739555361,-0.4260211527347565,"[92, 65, 65, 92]"
148,prune,0.009331253170967113,0.010144302248954795,-0.429779914021492,"[88, 62, 62, 88]"
159,grow,0.01407637298107145,0.007149556279182401,-0.4323988288640976,"[106, 62, 62, 88]"
172,grow,0.0011583119630813599,-0.011857849359512285,-0.4395624190568924,"[106, 62, 62, 106]"
187,prune,0.014352807402610801,0.02590548098087314,-0.4679906159639359,"[101, 59, 59, 101]"
