epoch,action,delta_grow,delta_prune,L_before,L_after_none,hidden_sizes
2,prune,-0.08735105991363534,0.2256808757781983,-1.7316291809082032,-1.6926711797714233,"[231, 231, 231, 231]"
4,prune,-0.0960450530052186,0.10735441446304317,-1.4040878295898438,-1.3780359268188476,"[208, 208, 208, 208]"
6,prune,-0.1402459740638733,0.06997258663177508,-1.2336305141448975,-1.1778303146362306,"[188, 188, 188, 188]"
8,prune,-0.087130916118622,0.09115133881568904,-1.0936590909957886,-1.065568172931671,"[170, 170, 170, 170]"
10,prune,-0.04883297085762017,0.09582624435424802,-0.9886956572532654,-0.9886218845844269,"[153, 153, 153, 153]"
12,prune,-0.06542782187461849,0.04664642810821529,-0.8819258749485016,-0.8738368153572083,"[138, 138, 138, 138]"
14,prune,-0.056444633007049605,0.05494299530982971,-0.804703164100647,-0.8050875186920166,"[125, 125, 125, 125]"
16,prune,-0.04924091100692751,0.04948910474777224,-0.7511200666427612,-0.7560422658920288,"[113, 113, 113, 113]"
18,prune,-0.06059998273849487,0.03291625976562507,-0.7043369114398956,-0.6918173909187317,"[102, 102, 102, 102]"
20,prune,-0.04835159778594966,0.027425634860992476,-0.645722109079361,-0.6497028350830079,"[92, 92, 92, 92]"
22,prune,-0.05046402215957646,0.014283555746078536,-0.6208077430725097,-0.6103180944919586,"[83, 83, 83, 83]"
24,prune,-0.042854690551757835,0.023093968629837036,-0.5842471897602082,-0.5877074301242828,"[75, 75, 75, 75]"
26,prune,-0.03231297135353095,0.017479044198989824,-0.5538060188293457,-0.552253133058548,"[68, 68, 68, 68]"
28,none,-0.04244184494018555,-0.0020065754652023315,-0.5393601894378662,-0.5290695250034332,"[68, 68, 68, 68]"
30,none,-0.030345487594604426,-0.007736629247665383,-0.5493567943572998,-0.537597018480301,"[68, 68, 68, 68]"
32,prune,-0.02256900668144224,0.0019482642412185225,-0.5585413634777069,-0.5435036480426788,"[62, 62, 62, 62]"
34,none,-0.0333459287881851,-0.004004853963851973,-0.5144194543361664,-0.4987798988819122,"[62, 62, 62, 62]"
36,none,-0.03910165131092069,-0.0015781372785568237,-0.5122983813285827,-0.5077078670263291,"[62, 62, 62, 62]"
38,prune,-0.013311922550201416,0.020207184553146407,-0.518499705195427,-0.5230783760547638,"[56, 56, 56, 56]"
40,prune,-0.024692887067794822,0.008970251679420504,-0.5141030371189117,-0.49823018312454226,"[51, 51, 51, 51]"
42,none,-0.033472353219985984,-0.003790944814682007,-0.48402134478092196,-0.4917705118656158,"[51, 51, 51, 51]"
44,prune,0.000391533970832858,0.010506975650787398,-0.4745962142944336,-0.4928018838167191,"[46, 46, 46, 46]"
46,none,-0.02653407156467441,-0.014643937349319458,-0.48674099445343016,-0.4685707867145538,"[46, 46, 46, 46]"
48,none,-0.030458852648735046,-0.016233858466148388,-0.4649501860141754,-0.46400484144687654,"[46, 46, 46, 46]"
51,none,-0.015047162771224976,-0.012375414371490479,-0.4691612035036087,-0.46689578592777253,"[46, 46, 46, 46]"
54,prune,-0.03251044452190399,0.0037981331348419523,-0.45774076581001283,-0.4585235834121704,"[42, 42, 42, 42]"
57,none,-0.019839957356452942,-0.0027158230543136153,-0.4500775158405304,-0.45642379820346834,"[42, 42, 42, 42]"
60,none,-0.01633000373840332,-0.000990396738052346,-0.4541652023792267,-0.4530304610729218,"[42, 42, 42, 42]"
63,none,-0.011981627345085177,-0.0029966562986374345,-0.4607615292072296,-0.44970296919345853,"[42, 42, 42, 42]"
66,prune,-0.016259232163429282,0.0014022201299667136,-0.46231052577495574,-0.45266173779964447,"[38, 38, 38, 38]"
69,none,-0.011742645502090476,-0.0057319611310959195,-0.44875735640525816,-0.44320750832557676,"[38, 38, 38, 38]"
73,prune,-0.012986227869987488,0.005958974361419678,-0.44196441769599915,-0.4491503655910492,"[35, 35, 35, 35]"
77,prune,-0.0016726821660995594,0.001115006208419811,-0.4540765404701233,-0.44606007635593414,"[32, 32, 32, 32]"
81,none,-0.018796560168266307,-0.024555063247680642,-0.43807111382484437,-0.42868387401103974,"[32, 32, 32, 32]"
85,prune,-0.006981632113456704,0.01721765100955963,-0.4154765963554382,-0.4407500892877579,"[29, 29, 29, 29]"
90,none,-0.005272763967514027,-0.008282846212387118,-0.42381870448589326,-0.42790915369987487,"[29, 29, 29, 29]"
95,none,-0.020238029956817616,-0.025228592753410328,-0.4255672782659531,-0.41474736034870147,"[29, 29, 29, 29]"
101,none,-0.014513668417930614,-0.025766211748123158,-0.4354967027902603,-0.4116782546043396,"[29, 29, 29, 29]"
107,none,-0.0075605273246764915,-0.02084912359714508,-0.4210034668445587,-0.41784177124500277,"[29, 29, 29, 29]"
114,none,-0.022303363680839572,-0.02209824025630952,-0.418088099360466,-0.4071620613336563,"[29, 29, 29, 29]"
121,none,-0.018544360995292664,-0.020775666832923922,-0.40957642793655397,-0.4182100027799606,"[29, 29, 29, 29]"
129,prune,-0.004612058401107788,0.004672694206237782,-0.4133360594511032,-0.4230260133743286,"[27, 27, 27, 27]"
138,none,-0.012138479948043845,-0.009784173965454113,-0.42128787040710447,-0.4155445396900177,"[27, 27, 27, 27]"
148,none,-0.010722351074218761,-0.016613531112670887,-0.4008238732814789,-0.40524579882621764,"[27, 27, 27, 27]"
159,none,-0.018599772453308072,-0.011527040600776639,-0.408884596824646,-0.4099127590656281,"[27, 27, 27, 27]"
172,none,-0.013882827758789074,-0.011873194575309776,-0.41804704666137693,-0.395399272441864,"[27, 27, 27, 27]"
187,none,-0.011612302064895608,-0.0009328275918960571,-0.3939124166965485,-0.4043242871761322,"[27, 27, 27, 27]"
