epoch,train_loss_total,train_loss_nll,train_loss_kl,train_loss_penalty,train_acc,train_brier,val_loss_total,val_loss_nll,val_loss_kl,val_loss_penalty,val_acc,val_brier,param_count
1,1.7376503513214436,1.5060693139725543,0.07976300221808413,0.15181799999999981,45.30416666666667,0.6707569154103598,1.229030042886734,0.997453843553861,0.07975811511278152,0.15181799999999998,63.766666666666666,0.4870305150349935,303636
2,1.099070447556516,0.8674990877192071,0.07975333992471086,0.15181799999999981,66.83333333333333,0.435880495707194,0.9966365794340769,0.7650709797938665,0.07974763959646225,0.15181799999999998,71.95,0.3795016581217448,303636
3,0.8100502161269493,0.5927332107056963,0.07481100410223007,0.142506,78.13333333333334,0.304248698870341,0.7750033289194107,0.5576967149972916,0.07480062544345856,0.142506,79.61666666666666,0.28653972880045575,285012
4,0.777401958374267,0.5601034639997685,0.07479249051910766,0.142506,79.10833333333333,0.29047126960754394,0.8224954307079315,0.6052047908306122,0.07478465139865875,0.142506,76.55,0.3209612668355306,285012
5,0.7048371383484374,0.501460703763556,0.06996643257902023,0.13340999999999986,81.76041666666667,0.25912203788757326,0.704268236955007,0.5009014556805292,0.06995676457881927,0.13341,81.89166666666667,0.25854545084635416,266820
6,0.6750250167035042,0.4716668059217169,0.06994820893444914,0.13340999999999986,82.8625,0.24449440479278564,0.6920149922370911,0.4886658961574237,0.06993908435106277,0.13341,82.925,0.24753796768188477,266820
7,0.6446610308708028,0.4526630614666229,0.06600298447177765,0.1259949999999999,83.43333333333334,0.2345489673614502,0.6479831486940384,0.45599552243947983,0.06599264591932297,0.12599500000000002,83.475,0.23607671483357748,251990
8,0.6262054836496393,0.4342269872097259,0.0659835123001261,0.1259949999999999,84.21875,0.22592692693074545,0.6399803956349691,0.4480109363794327,0.06597448885440826,0.12599500000000002,83.60833333333333,0.23170874150594076,251990
9,0.5964104672695728,0.4155578651326768,0.06212260360096363,0.11872999999999997,84.76666666666667,0.21597947470347087,0.6079565038283666,0.4271142805616061,0.0621122382581234,0.11872999999999999,84.65,0.22059077580769856,237460
10,0.582811453240983,0.4019772385029083,0.062104218659248756,0.11872999999999997,85.29375,0.20984080092112223,0.5944508413473765,0.41362454493840534,0.062096308916807175,0.11872999999999999,84.83333333333333,0.2129174067179362,237460
11,0.5562177465317097,0.3862773141962417,0.05832543667960674,0.1116149999999999,85.9375,0.20094715944925945,0.581741988658905,0.4118097772200902,0.05831722542643547,0.111615,85.20833333333333,0.2119411417643229,223230
12,0.5643100332706532,0.39438428777329465,0.05831074191534773,0.1116149999999999,85.32291666666667,0.20685532506306967,0.5707085281610489,0.4007892484466235,0.05830426886677742,0.111615,85.85,0.20517617670694988,223230
13,0.5345274907477359,0.3752568300734175,0.05462065370793038,0.10465,86.19166666666666,0.1966358381907145,0.5526948422193527,0.3934314226110776,0.054613396525382996,0.10464999999999998,85.91666666666667,0.2027976099650065,209300
14,0.5216725639840389,0.3624150594498249,0.05460749867748707,0.10465,86.50625,0.19039416758219402,0.5502958794434866,0.3910441795984904,0.05460168421268463,0.10464999999999998,85.66666666666667,0.20200649134318033,209300
15,0.5204413304937646,0.36119423140870766,0.05459709552691338,0.10465,86.55625,0.18990916538238525,0.5514172861973444,0.39217496166626614,0.054592303931713104,0.10464999999999998,85.975,0.20129550298055013,209300
16,0.5251400648279393,0.36590269398181996,0.05458736831837512,0.10465,86.44583333333334,0.19226900863647461,0.5616660416126251,0.40243353446324664,0.054582491517066956,0.10464999999999998,85.325,0.20736926396687824,209300
17,0.5128537162821344,0.3536259455883757,0.054577768166014486,0.10465,86.82916666666667,0.18614122835795086,0.5485267241795858,0.3893037711580594,0.054572928696870804,0.10464999999999998,85.475,0.20181958262125652,209300
18,0.509370042288557,0.35015189964720544,0.0545681413025298,0.10465,87.14791666666666,0.18392737007141113,0.5451533943414688,0.3859400749206543,0.054563313722610474,0.10464999999999998,86.0,0.20053512318929037,209300
19,0.5044208917211979,0.35355658924325983,0.051678300934269075,0.09918599999999993,86.9,0.18636960252126059,0.5289705743392309,0.37811318784952164,0.05167137831449509,0.099186,86.31666666666666,0.1945536511739095,198372
20,0.4919219898416641,0.341070109859426,0.051665879627491564,0.09918599999999993,87.28958333333334,0.17951604557037354,0.5608103622992834,0.4099639654159546,0.05166039988398552,0.099186,85.15,0.2125304412841797,198372
21,0.4779638711442339,0.33531541076112303,0.04883045187972961,0.09381800000000004,87.71875,0.1760134433110555,0.5125928098956744,0.369950736562411,0.04882406070828438,0.09381799999999997,86.75,0.18999248504638672,187636
22,0.4729082514630987,0.33027025359742185,0.04881999055121807,0.09381800000000004,87.675,0.17440667215983072,0.5194539874792099,0.3768201172351837,0.048815883696079254,0.09381799999999997,86.25833333333334,0.1951261901855469,187636
23,0.4594759890373717,0.3248904658124802,0.046039518523723524,0.088546,88.01666666666667,0.17118218390146892,0.4957560747861862,0.36117520680030185,0.046034879982471466,0.088546,87.08333333333333,0.18553467178344726,177092
24,0.4523013671661945,0.3177237536044831,0.04603161036651185,0.088546,88.29375,0.16802746613820393,0.4957840715845426,0.36120983958244324,0.04602824151515961,0.088546,86.875,0.18595972442626954,177092
25,0.45694999745551573,0.32237867408610404,0.04602531660744484,0.088546,87.81875,0.17155451265970867,0.504902978738149,0.3703341508905093,0.046022847294807434,0.088546,86.91666666666667,0.1902269999186198,177092
26,0.44887337342221684,0.3143072305841649,0.0460201344115937,0.088546,88.42083333333333,0.16568705590566,0.4977844258149465,0.36322102944056195,0.04601740092039108,0.088546,87.05833333333334,0.18727392323811848,177092
27,0.4490595732597595,0.314498873467141,0.04601469152468316,0.088546,88.28333333333333,0.16647513516743978,0.5029435257116953,0.36838531245787937,0.046012211591005325,0.088546,86.85833333333333,0.19115801111857098,177092
28,0.44832361188340697,0.3137676823646464,0.04600992315310113,0.088546,88.26458333333333,0.16654955005645752,0.49580832570791245,0.36125465979178745,0.0460076741874218,0.088546,86.89166666666667,0.18629108301798503,177092
29,0.43921539631295714,0.31255776133943114,0.04328763429471787,0.08336999999999996,88.35833333333333,0.16585206731160482,0.4821791003147761,0.35552453498045605,0.04328455403447151,0.08336999999999999,87.475,0.1833105697631836,166740
30,0.43475503426917056,0.3081030997824162,0.04328193467982272,0.08336999999999996,88.43541666666667,0.16339280382792154,0.47353603690862656,0.34688641875982285,0.04327961802482605,0.08336999999999999,87.19166666666666,0.18057465998331707,166740
31,0.4310583041069355,0.3044107730718369,0.043277530118506005,0.08336999999999996,88.61041666666667,0.16145077991485596,0.48263394832611084,0.355988584458828,0.0432753711938858,0.08336999999999999,87.325,0.18282799021402996,166740
32,0.4310359022718795,0.30439180008908534,0.04327410102841702,0.08336999999999996,88.68541666666667,0.16131774266560872,0.4992113709449768,0.3725687538584073,0.043272629380226135,0.08336999999999999,86.91666666666667,0.19167684427897136,166740
33,0.4276605425996983,0.3087602784024908,0.04061026839499778,0.07828999999999998,88.63958333333333,0.1638521795272827,0.47908571859200794,0.36018821348746616,0.040607523173093796,0.07828999999999998,87.21666666666667,0.1842459945678711,156580
34,0.4195896120781594,0.3006931777964247,0.04060643515054216,0.07828999999999998,88.68958333333333,0.15989676221211752,0.469857116540273,0.35096169759829837,0.040605418384075165,0.07828999999999998,87.25,0.18264351654052735,156580
35,0.42146807591965857,0.3082812193860399,0.038643856235641115,0.07454299999999993,88.68125,0.16302579021453859,0.4773079330722491,0.3641230637828509,0.03864186257123947,0.07454300000000001,86.925,0.18810297012329102,149086
36,0.4150249907310973,0.3018405171150857,0.038641475616617404,0.07454299999999993,88.58333333333333,0.16090098317464194,0.47306037445863086,0.35987648367881775,0.038640882819890976,0.07454300000000001,87.34166666666667,0.18424845886230468,149086
37,0.40255777125662945,0.29499397379286746,0.036713796093108805,0.07085000000000004,88.99583333333334,0.15694054158528645,0.4607909818490346,0.3532290781537692,0.036711908876895905,0.07084999999999998,86.98333333333333,0.18396127573649088,141700
38,0.3967397200300338,0.2891786795981387,0.03671103945754944,0.07085000000000004,89.28333333333333,0.15391240787506102,0.44814833005269367,0.34058744460344315,0.03671087697148323,0.07084999999999998,87.925,0.1750421371459961,141700
39,0.3994108045354803,0.2973845832525416,0.03481521766553534,0.06721099999999995,88.94583333333334,0.15877866204579671,0.45706994583209354,0.355044350028038,0.034814607352018356,0.067211,87.19166666666666,0.1833400395711263,134422
40,0.3918813207048051,0.28985521070500636,0.0348151093150707,0.06721099999999995,89.26458333333333,0.1544180914560954,0.4557262882590294,0.35370003432035446,0.034815263003110886,0.067211,87.1,0.18196359125773112,134422
41,0.3856232356517873,0.2890459346644422,0.03295131035624666,0.06362600000000004,89.13958333333333,0.1544676831563314,0.4499074916044871,0.35333044330279034,0.032951049506664276,0.06362599999999999,87.33333333333333,0.1808205261230469,127252
42,0.3860519763003004,0.28947390457417105,0.032952080777984984,0.06362600000000004,89.19375,0.15466144895553588,0.4428214703996976,0.3462423657377561,0.032953113317489624,0.06362599999999999,87.39166666666667,0.18007279841105142,127252
43,0.3837770445549742,0.29256349358152833,0.031118539340318517,0.060095,89.12708333333333,0.15599156792958577,0.4452351654569308,0.35402143249909085,0.0311187244951725,0.060095,87.75833333333334,0.17912740707397462,120190
44,0.37090539932250977,0.27969076341771065,0.031119622210872933,0.060095,89.64166666666667,0.14847152630488078,0.44346827020247775,0.35225248088439304,0.031120790168642998,0.060095,87.18333333333334,0.18199224599202474,120190
45,0.36982190735796666,0.28388947945960025,0.029314423376258385,0.05661799999999997,89.31041666666667,0.15131705331802367,0.44404906034469604,0.35811513662338257,0.029315924271941185,0.05661799999999998,87.06666666666666,0.18479236348470052,113236
46,0.36478097831949274,0.27884566086403867,0.029317310555501186,0.05661799999999997,89.61666666666666,0.14869075536727905,0.43658987432718277,0.3506530299782753,0.029318831861019135,0.05661799999999998,87.58333333333333,0.17864834721883138,113236
47,0.3642351253235594,0.28176724149825727,0.0281378928017109,0.05433000000000004,89.46041666666666,0.150355562210083,0.42707668741544086,0.34460805853207904,0.028138644993305206,0.054329999999999996,87.39166666666667,0.17848998006184896,108660
48,0.36333474580277786,0.28086420227872566,0.02814055376864494,0.05433000000000004,89.35208333333334,0.14989611625671387,0.43949364374081296,0.35702114055554074,0.028142515569925308,0.054329999999999996,87.21666666666667,0.18491571680704752,108660
49,0.35826246408706014,0.2757880389690399,0.028144433618860043,0.05433000000000004,89.61041666666667,0.14730368169148764,0.44605252146720886,0.36357608437538147,0.028146445751190186,0.054329999999999996,86.95,0.18802905527750652,108660
50,0.35961866886057753,0.2771402825700476,0.02814839304761684,0.05433000000000004,89.625,0.1483707421620687,0.432184303800265,0.3497038135925929,0.028150495141744614,0.054329999999999996,87.46666666666667,0.18004354159037272,108660
51,0.3573895331392897,0.27490713209547896,0.02815240922760456,0.05433000000000004,89.71875,0.14727485656738282,0.4335688576102257,0.35108449310064316,0.028154361993074417,0.054329999999999996,87.425,0.17954059855143228,108660
52,0.3543445372835119,0.2752979600683172,0.026980580207198224,0.05206599999999995,89.80416666666666,0.14684268506368,0.44068659593661624,0.36163870245218277,0.026981905102729797,0.05206599999999998,87.14166666666667,0.18525829442342123,104132
53,0.35055360641885314,0.2715038536710942,0.026983753163763818,0.05206599999999995,89.86041666666667,0.14494962612787882,0.4242609590291977,0.3452090968688329,0.02698586881160736,0.05206599999999998,87.8,0.17637521489461264,104132
54,0.3532198724594522,0.27416549940058527,0.02698837533751701,0.05206599999999995,89.72916666666667,0.14729084157943725,0.4252753828962644,0.3462185536821683,0.026990827172994614,0.05206599999999998,87.475,0.17786582565307618,104132
55,0.34785709989831803,0.2687983303628069,0.026992769792993018,0.05206599999999995,89.91666666666667,0.1441645253499349,0.4188588634133339,0.33979807049036026,0.026994789019227028,0.05206599999999998,88.09166666666667,0.1745075620015462,104132
56,0.3463960930388025,0.2673332377317104,0.026996855406050988,0.05206599999999995,90.08125,0.14320146942138673,0.41868218531211215,0.33961701144774753,0.026999162510037422,0.05206599999999998,88.1,0.17387538019816082,104132
57,0.34580882052157785,0.26674158395604886,0.027001239121594328,0.05206599999999995,90.00833333333334,0.1428056445121765,0.42913827300071716,0.3500688970088959,0.027003368362784386,0.05206599999999998,87.625,0.17822791544596353,104132
58,0.34972839406196105,0.27406003151802305,0.025842366621215293,0.04982599999999996,89.775,0.14659102535247803,0.4206371158361435,0.34496696293354034,0.025844160467386246,0.04982599999999999,87.80833333333334,0.176578337987264,99652
59,0.34377589504769507,0.2681036131813171,0.025846288202607884,0.04982599999999996,89.84583333333333,0.1438781994183858,0.4202524547775586,0.3445779209335645,0.025848545134067535,0.04982599999999999,87.93333333333334,0.1760391960144043,99652
60,0.340517096062924,0.26484027790262343,0.025850824972099447,0.04982599999999996,90.14583333333333,0.1417693435351054,0.4259655351440112,0.35028641174236935,0.025853125378489494,0.04982599999999999,87.64166666666667,0.17805990091959636,99652
61,0.33891303361730374,0.26659651671318296,0.024706515424112056,0.04760999999999999,90.00625,0.14316116031010945,0.4149651328722636,0.3426472246646881,0.02470790594816208,0.04760999999999999,87.775,0.17594879404703775,95220
62,0.33883639218959405,0.26651669689949525,0.024709697852426386,0.04760999999999999,90.20416666666667,0.14215766859054565,0.4161011576652527,0.34377949436505634,0.02471165917813778,0.04760999999999999,88.06666666666666,0.1738972142537435,95220
63,0.3326057062504139,0.2602820155468393,0.024713692037349053,0.04760999999999999,90.21875,0.13954538599650065,0.42592524488766986,0.3535991907119751,0.024716045707464218,0.04760999999999999,87.69166666666666,0.18029120508829752,95220
64,0.3332288588615174,0.26090066769021625,0.024718188819416027,0.04760999999999999,90.26666666666667,0.13958764346440633,0.41656604905923206,0.34423545996348065,0.02472059242427349,0.04760999999999999,88.01666666666667,0.17394605255126952,95220
65,0.3331214430484366,0.26078852503857713,0.024722920770340776,0.04760999999999999,90.1625,0.14002320702870688,0.4185424993435542,0.34620708723862964,0.0247254129499197,0.04760999999999999,87.78333333333333,0.177866481145223,95220
66,0.3341971420227213,0.2618591779089989,0.024727968657587435,0.04760999999999999,90.0125,0.14111246220270793,0.4201526939868927,0.34781185785929364,0.024730829522013664,0.04760999999999999,87.49166666666666,0.17792968495686848,95220
67,0.3293834036969124,0.25704028568369275,0.02473311795991786,0.04760999999999999,90.41041666666666,0.13784968900680541,0.41699592769145966,0.34465038279692334,0.024735551327466965,0.04760999999999999,88.175,0.17490376663208007,95220
68,0.32899437813048665,0.25664624635209426,0.024738130060599207,0.04760999999999999,90.32083333333334,0.13829524930318196,0.41061777373154956,0.338267224530379,0.0247405543923378,0.04760999999999999,88.18333333333334,0.1710198605855306,95220
69,0.33374917760808415,0.26139586878583787,0.024743304330300777,0.04760999999999999,90.175,0.1404179565111796,0.4050627201795578,0.33270689596732456,0.024745825678110123,0.04760999999999999,88.11666666666666,0.1685638821919759,95220
70,0.32759101213292874,0.2552327621490397,0.02474825492406145,0.04760999999999999,90.40416666666667,0.13718939717610676,0.410990372300148,0.33862950404485065,0.02475084736943245,0.04760999999999999,88.23333333333333,0.1713797238667806,95220
71,0.3229376014242781,0.2505744629083796,0.024753136560320854,0.04760999999999999,90.66458333333334,0.13507844797770183,0.40417155126730603,0.33180608848730725,0.02475544437766075,0.04760999999999999,87.96666666666667,0.1697624683380127,95220
72,0.32217132854968944,0.24980342736903657,0.024757898155045,0.04760999999999999,90.65,0.13387789503733316,0.4129267434279124,0.34055620431900024,0.0247605312615633,0.04760999999999999,88.125,0.17219210815429686,95220
73,0.3187061256550728,0.24633310069429112,0.02476303077283058,0.04760999999999999,90.77708333333334,0.13268379878997802,0.416322593887647,0.3439471075932185,0.02476547844707966,0.04760999999999999,87.93333333333334,0.17424427032470702,95220
74,0.3179400658353846,0.24556234605768892,0.024767724757498884,0.04760999999999999,90.65625,0.132731428305308,0.4154643068710963,0.3430841639637947,0.024770153686404228,0.04760999999999999,88.16666666666667,0.17348095194498697,95220
75,0.32062425068084227,0.24824199143876421,0.024772262834805124,0.04760999999999999,90.69375,0.1338439917564392,0.4145500361919403,0.3421655098597209,0.02477451227605343,0.04760999999999999,87.9,0.17480133946736653,95220
76,0.3212943508269939,0.2489072617064131,0.02477709342666129,0.04760999999999999,90.76458333333333,0.13395663038889566,0.41272712250550586,0.3403373335798581,0.024779802188277245,0.04760999999999999,88.125,0.17230688985188802,95220
77,0.32464130952003156,0.25224903701467716,0.02478227566214318,0.04760999999999999,90.50625,0.13632795937856038,0.4231369396050771,0.35074186076720554,0.02478507161140442,0.04760999999999999,87.375,0.17896568552652994,95220
78,0.32583846120124166,0.25677705128142175,0.0236434151042015,0.04541799999999998,90.2625,0.13887681118647258,0.4179561237494151,0.3488929669062297,0.023645175620913506,0.04541800000000001,87.91666666666667,0.17585709381103515,90836
79,0.32174444959518755,0.2526786910726669,0.023647762438718307,0.04541799999999998,90.57083333333334,0.1360821442604065,0.4064229627450307,0.337354709704717,0.023650264367461205,0.04541800000000001,88.025,0.17180077362060547,90836
