epoch,action,delta_grow,delta_prune,L_before,hidden_sizes
2,prune,0.4181402504444123,0.4338296473026275,-1.3810361623764038,"[31, 31, 31, 31]"
4,grow,0.08921791911125188,0.06275392770767207,-0.778455525636673,"[38, 31, 31, 31]"
6,prune,0.03432350754737856,0.04131947755813603,-0.6595036029815674,"[37, 30, 30, 30]"
8,prune,0.019041466712951705,0.06386069059371957,-0.6095066547393799,"[36, 29, 29, 29]"
10,prune,-0.0011887043714523537,0.01362195611000061,-0.5335303783416748,"[35, 28, 28, 28]"
12,prune,-0.03235518932342529,0.011204671859741167,-0.5082163423299789,"[34, 27, 27, 27]"
14,prune,0.0003019094467163197,0.0072963029146194125,-0.4881674379110336,"[33, 26, 26, 26]"
16,prune,-0.010341435670852661,0.016898950934410073,-0.48553070425987244,"[32, 25, 25, 25]"
18,grow,0.009238827228546131,-0.007397088408470143,-0.4844947785139084,"[32, 25, 30, 25]"
20,none,-0.04069286584854126,-0.011081126332283031,-0.4493433594703674,"[32, 25, 30, 25]"
22,prune,0.004757878184318554,0.01913699507713318,-0.47125216126441954,"[31, 24, 29, 24]"
24,prune,-0.012950378656387318,0.01115337312221526,-0.4549163460731506,"[30, 23, 28, 23]"
26,prune,-0.00018804967403412975,0.003034311532974232,-0.45091348588466645,"[29, 22, 27, 22]"
28,none,-0.006442424654960643,-0.013387477397918679,-0.4328312247991562,"[29, 22, 27, 22]"
30,none,-0.013730442523956277,-0.007855474948883057,-0.44205803871154786,"[29, 22, 27, 22]"
32,prune,-0.0034934341907501,0.010976284742355347,-0.44494945704936983,"[28, 21, 26, 21]"
34,none,-0.021586105227470398,-0.011245477199554432,-0.42884006500244143,"[28, 21, 26, 21]"
36,grow,0.008449128270149264,0.0042704135179519875,-0.4312207192182541,"[34, 21, 26, 21]"
38,grow,0.003956118226051297,-0.0005702584981918668,-0.4298018395900726,"[34, 26, 26, 21]"
40,prune,-0.013511145114898704,0.008712637424468983,-0.4252959221601486,"[33, 25, 25, 20]"
42,prune,-0.022192656993865967,0.004585826396942105,-0.4239060044288635,"[32, 24, 24, 19]"
44,grow,0.007688206434249889,0.006682118773460366,-0.4377231627702713,"[39, 24, 24, 19]"
46,grow,0.006728392839431774,0.0026056945323944536,-0.4189851522445679,"[39, 29, 24, 19]"
48,prune,-0.0017031282186508179,0.003267878293991111,-0.42102490067481996,"[38, 28, 23, 18]"
51,none,-0.02622029185295105,-0.007736703753471352,-0.4150049537420273,"[38, 28, 23, 18]"
54,none,-0.02708580791950227,-0.010680297017097495,-0.4105655163526535,"[38, 28, 23, 18]"
57,none,-0.014401772618293729,-0.002376320958137501,-0.40999790728092195,"[38, 28, 23, 18]"
60,none,-0.0007096499204635731,-0.0003602445125579501,-0.4176288664340973,"[38, 28, 23, 18]"
63,prune,-0.0031264036893844382,0.010439607501029957,-0.42182527482509613,"[37, 27, 22, 17]"
66,prune,-0.026230284571647666,0.013917386531829834,-0.4205257654190063,"[36, 26, 21, 16]"
69,prune,-0.004389229416847273,0.004021969437599138,-0.4116054981946945,"[35, 25, 20, 15]"
73,none,-0.024758905172348022,-0.060617879033088684,-0.39161708056926725,"[35, 25, 20, 15]"
77,none,-0.012840810418128956,-0.009473052620887712,-0.3938526898622513,"[35, 25, 20, 15]"
81,prune,0.000340914726257302,0.003352743387222301,-0.40006164014339446,"[34, 24, 19, 14]"
85,prune,-0.0019854366779327726,0.0054131776094436534,-0.40403800308704374,"[33, 23, 18, 13]"
90,none,-0.002644672989845276,-0.05874138474464413,-0.39135791063308717,"[33, 23, 18, 13]"
95,grow,0.01357465684413911,-0.03204514682292936,-0.4038538604974747,"[40, 23, 18, 13]"
101,grow,0.003954768180847168,-0.046793094277381875,-0.40793302059173586,"[40, 28, 18, 13]"
107,none,-0.014529490470886253,-0.05077306330204012,-0.39082883596420287,"[40, 28, 18, 13]"
114,none,-0.006910452246665921,-0.042212864756584145,-0.40393824577331544,"[40, 28, 18, 13]"
121,none,-0.009344023466110185,-0.046038818359374956,-0.4062696933746338,"[40, 28, 18, 13]"
129,none,-0.017243003845214877,-0.04782273173332219,-0.39240477085113523,"[40, 28, 18, 13]"
138,prune,-0.004574880003929138,0.012163442373275768,-0.40503622889518737,"[38, 27, 17, 12]"
148,none,-0.01307964920997623,-0.037493276596069325,-0.38845937252044677,"[38, 27, 17, 12]"
159,none,-0.0103643178939819,-0.004500398039817777,-0.39393590092659,"[38, 27, 17, 12]"
172,prune,0.006753310561180115,0.014925947785377536,-0.41231668889522555,"[37, 26, 16, 11]"
187,prune,-0.0018351376056671143,0.0040698766708374134,-0.4032201886177063,"[36, 25, 15, 10]"
